population,population_zh,statistic,status,status_zh,eligibility_filter_applied,n_tasks,n_buildings,mean_difference,ci_lower,ci_upper,building_exact_sign_flip_p,task_exact_sign_flip_p_sensitivity
formal_primary_22,原始码：formal_primary_22,task_worker_mean_seconds,protocol_reference_eligible_only,原始码：protocol_reference_eligible_only,True,22,9,37.095454545454544,-53.18402777777777,142.8475,0.69921875,0.850738525390625
formal_primary_22,原始码：formal_primary_22,task_worker_median_seconds,protocol_reference_eligible_only,原始码：protocol_reference_eligible_only,True,22,9,-30.272727272727277,-89.21178489702518,28.278333333333325,0.41015625,0.2289776802062988
planned_paired_25,原始码：planned_paired_25,task_worker_mean_seconds,primary_data_mining_inclusive_observed_frozen_time,原始码：primary_data_mining_inclusive_observed_frozen_time,False,25,9,39.19,-45.29748333333333,131.04866666666666,0.61328125,0.7490022778511047
planned_paired_25,原始码：planned_paired_25,task_worker_median_seconds,primary_data_mining_inclusive_observed_frozen_time,原始码：primary_data_mining_inclusive_observed_frozen_time,False,25,9,-22.84,-82.13167391304349,30.47058823529412,0.5078125,0.3099102973937988
oos_paired_3,原始码：oos_paired_3,task_worker_mean_seconds,exploratory_oos_only,原始码：exploratory_oos_only,False,3,2,54.55,31.825,100.0,0.5,0.25
oos_paired_3,原始码：oos_paired_3,task_worker_median_seconds,exploratory_oos_only,原始码：exploratory_oos_only,False,3,2,31.666666666666668,15.75,63.5,0.5,0.5
