threshold,base_task_id,building_id,task_analysis_class,task_final_scope,has_semi_candidate,gate_without_scope_valid_k,all_canonical_valid_k,gate_without_scope_partition_status,all_canonical_partition_status,gate_without_scope_shannon_entropy,geometry_entropy,gate_without_scope_mode_count,geometry_mode_count,excluded_context_shift_manual_entropy,analysis_role,active_time_task_median,lead_time_task_median,n_corners_task_median,task_iou_mean,task_iou_median,structural_failure_rate,quality_computable_count,crowd_gt_gap_best_minus_largest,largest_cluster_median_iou,best_cluster_median_iou,meta_entropy_difficulty,meta_entropy_model_issue,meta_entropy_scope,risk,risk_design_score_A,ordinary_stress,design_stratum,feature_timing
0.95,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect,81.0,81.594,8.0,0.8329945800789108,0.8348290399578412,0.0,5,0.0094152889002825,0.8311110434571953,0.8405263323574779,0.2502012117690939,,0.557938838028544,,,,,pre_task
0.95,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,manual_only_oos,oos,False,5,5,unique,unique,1.3321790402101223,1.3321790402101223,4.0,4.0,0.0,manual_ambiguity_catalog_not_semi_effect,79.0,94.474,8.0,,,0.0,0,,,,0.6154752525189003,,0.6154752525189003,,,,,pre_task
0.95,7y3sRwLe3Va_a775c7668ca9419daaf506e76851821e,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,6,unique,unique,0.6730116670092565,1.0114042647073516,2.0,3.0,0.338392597698095,manual_ambiguity_catalog_not_semi_effect,122.0,169.8325,10.0,0.6959172730743962,0.7284154188318561,0.0,6,0.0,0.8170038437484628,0.8170038437484628,0.4505612088663046,,0.5125455286758074,,,,,pre_task
0.95,7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,7y3sRwLe3Va,paired_primary,in_scope,True,5,6,unique,unique,0.9502705392332348,0.8675632284814612,3.0,3.0,-0.0827073107517735,manual_ambiguity_catalog_not_semi_effect,90.0,91.1035,14.0,0.9151273734615448,0.9454972819553042,0.0,10,0.1596196788023506,0.8159975809049256,0.9756172597072762,0.6648306744273791,0.6495431685795663,0.0,,,,,pre_task
0.95,7y3sRwLe3Va_b47475370e824b9e923a4a96bc98e1e3,7y3sRwLe3Va,paired_primary,in_scope,True,5,5,unique,unique,0.9502705392332348,0.9502705392332348,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect,296.0,209.324,16.0,0.9375821981289544,0.940742270169824,0.0,9,0.0,0.94017990656914,0.94017990656914,0.3125456540908163,0.6931471805599453,0.5601369913236762,,,,,pre_task
0.95,7y3sRwLe3Va_b564162b2c7d4033bfe6ef3dfb959c9e,7y3sRwLe3Va,manual_only_oos,oos,False,5,5,unique,unique,0.9502705392332348,0.9502705392332348,3.0,3.0,0.0,manual_ambiguity_catalog_not_semi_effect,191.0,240.641,8.0,,,0.0,0,,,,0.5004024235381879,,0.6730116670092565,,,,,pre_task
0.95,7y3sRwLe3Va_bbcc19afdad742eba89290ad2b5dbf6b,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,-0.0,-0.0,1.0,1.0,0.0,manual_ambiguity_catalog_not_semi_effect,48.0,64.449,8.0,0.9224483930723402,0.9331462485268393,0.0,5,0.0,0.9331462485268393,0.9331462485268393,0.5004024235381879,,0.0,,,,,pre_task
0.95,7y3sRwLe3Va_fdab6422162e49db822a37178ab70481,7y3sRwLe3Va,manual_only_in_scope,in_scope,False,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect,139.5,155.64,12.0,0.925716294898108,0.933100247629949,0.0,5,0.0,0.9426084442367704,0.9426084442367704,0.3365058335046282,,0.5004024235381879,,,,,pre_task
0.95,B6ByNegPMKs_5b5bd1eac4e6462d8c6677b90a4cf9a9,B6ByNegPMKs,paired_primary,in_scope,True,5,5,unique,unique,0.5004024235381879,0.5004024235381879,2.0,2.0,0.0,manual_ambiguity_catalog_not_semi_effect,174.5,201.06,8.0,0.802600428125943,0.7563309386152192,0.0,9,0.0,0.7451339431812869,0.7451339431812869,0.5767916357678066,0.0,0.5313687840784981,,,,,pre_task
0.95,B6ByNegPMKs_7018ca302c584d0d85024187f3568460,B6ByNegPMKs,paired_primary,in_scope,True,5,5,unique,unique,-0.0,-0.0,1.0,1.0,0.0,manual_ambiguity_catalog_not_semi_effect,105.0,112.634,8.0,0.9572019363986844,0.9571598695898328,0.0,9,0.0,0.9595101880877744,0.9595101880877744,0.5313687840784981,0.5623351446188083,0.2811675723094041,,,,,pre_task
