estimand,metric,estimate,median_estimand_unit_value,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,task_count,building_count,exact_building_signflip_p,definition
task_equal,semi_minus_manual_partition_failure_rate,-0.016,0.0,-0.05454545454545456,0.0,25,9,1.0,failure_count / subset_count; missing/zero denominator remains NA
building_equal,semi_minus_manual_partition_failure_rate,-0.014814814814814815,0.0,-0.044444444444444446,0.0,25,9,1.0,failure_count / subset_count; missing/zero denominator remains NA
