excluded_worker_id,worker_process_class,task_count,peer_comparison_count,metric_compatible_count,correspondence_compatible_count,passes_q095_count,q_boundary_mean,q_wallwall_mean,analysis_role
10,outside_assignment,1,4,4,3,3,0.9957343570151832,0.9886521784381928,excluded_worker_descriptive_only
14,administratively_excluded_worker,31,356,356,209,195,0.974639283851919,0.9764229861510292,excluded_worker_descriptive_only
31,outside_assignment,5,24,24,16,14,0.9791353942610648,0.9686995640478588,excluded_worker_descriptive_only
34,outside_assignment,2,10,10,0,0,0.991805924714703,0.9706284742032384,excluded_worker_descriptive_only
