analysis_lane,analysis_lane_zh,row_count,task_count,worker_count,variance_of_task_means,variance_of_worker_means,status,status_zh
quality_iou_to_gt,原始码：quality_iou_to_gt,717,79,23,0.007686696572618941,0.0007677595426599884,descriptive_mean_variances_not_formal_decomposition,原始码：descriptive_mean_variances_not_formal_decomposition
geometry_mean_pairwise_rmse,原始码：geometry_mean_pairwise_rmse,2168,205,26,0.002756699614849,0.00022003694189912527,descriptive_mean_variances_not_formal_decomposition,原始码：descriptive_mean_variances_not_formal_decomposition
meta_label_cardinality,原始码：meta_label_cardinality,5574,583,26,0.07093346147712762,0.008402129336028137,descriptive_mean_variances_not_formal_decomposition,原始码：descriptive_mean_variances_not_formal_decomposition
log1p_active_time,原始码：log1p_active_time,2069,214,24,0.28627604864506817,0.6155191993159181,descriptive_mean_variances_not_formal_decomposition,原始码：descriptive_mean_variances_not_formal_decomposition
