stage,stage_zh,condition,condition_zh,paired_record_count,spearman_rho,spearman_p,log_scale_pearson_r,log_scale_pearson_p,median_active_to_lead_ratio,q25_active_to_lead_ratio,q75_active_to_lead_ratio,interpretation
C1,校准一阶段,manual,纯人工,607,0.9128435149049828,1.5813810064108372e-237,0.8966015169931045,3.438847761427361e-216,0.9764651959905144,0.8447449848382409,1.0060022776808606,active_and_elapsed_time_measure_different_constructs
C1,校准一阶段,semi,模型预标注辅助,94,0.9170963019743328,1.6278056895058994e-38,0.9390280222643504,1.951780917577378e-44,0.962388803344606,0.9145335754727608,1.0094997685093738,active_and_elapsed_time_measure_different_constructs
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,40,0.9023875426222586,1.8139919663788837e-15,0.8632737198512771,7.688610661388867e-13,1.0197469610882233,0.9404308027904495,1.0749113779452628,active_and_elapsed_time_measure_different_constructs
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,40,0.9232573452771196,2.261609457571584e-17,0.9239921019153798,1.8960944763863224e-17,1.015236871834251,0.8884499776370219,1.0740265057378655,active_and_elapsed_time_measure_different_constructs
C2-B,校准二阶段B,manual,纯人工,160,0.8813426983547021,2.55994664816937e-53,0.7627185553048299,1.0278344996146362e-31,1.0794980286308038,0.9828160718360516,1.2196665445129125,active_and_elapsed_time_measure_different_constructs
P1,预筛,manual,纯人工,599,0.8629192813934183,4.148776028054093e-179,0.8625873205772028,8.101003432333808e-179,1.1608273533136344,1.0389537370239834,1.9232041265984812,active_and_elapsed_time_measure_different_constructs
P1,预筛,oos,原始码：oos,180,0.8528441617583411,4.113479136341587e-52,0.8800910248223395,1.7807934282692645e-59,1.0854507260822608,1.0084488141944097,1.360867107277409,active_and_elapsed_time_measure_different_constructs
P1,预筛,semi,模型预标注辅助,349,0.9182567092011272,1.1561828476376462e-141,0.914447454279611,2.2233793537051843e-138,1.2609189776601657,1.0863124629666203,1.7372523241618931,active_and_elapsed_time_measure_different_constructs
