stage,stage_zh,condition,condition_zh,selected_or_auditable_record_count,worker_count,base_task_count,building_count,geometry_computable_count,active_time_observed_count,active_time_formal_eligible_count,lead_time_observed_count,administrative_exclusion_record_count,historical_retained_record_count,outside_assignment_record_count,raw_annotation_version_count,raw_worker_count,raw_base_task_count,raw_lead_time_observed_count
C1,校准一阶段,manual,纯人工,674,23,87,13,668,607,607,674,28,56,7,680,23,87,680
C1,校准一阶段,semi,模型预标注辅助,106,23,25,9,105,94,94,106,4,9,2,108,23,25,108
C2-A-RP-B1,校准二阶段风险精度块一,manual,纯人工,40,20,28,8,40,40,40,40,0,0,0,40,20,28,40
C2-A-RP-B2,校准二阶段风险精度块二,manual,纯人工,40,20,27,8,39,40,40,40,0,0,0,40,20,27,40
C2-B,校准二阶段B,manual,纯人工,160,20,46,8,160,160,160,160,0,0,0,160,20,46,160
P1,预筛,manual,纯人工,779,26,30,12,741,599,599,779,30,60,0,782,26,30,782
P1,预筛,oos,原始码：oos,234,26,9,6,221,180,180,234,9,18,0,234,26,9,234
P1,预筛,semi,模型预标注辅助,468,26,18,10,464,349,349,468,18,36,0,469,26,18,469
