stage,stage_zh,condition,condition_zh,base_task_id,building_id,worker_id_left,worker_id_right,n_corners_left,n_corners_right,same_topology,cyclic_rmse_diagonal_normalized,measurement_note
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,10,27,8,8,True,0.0585194961727036,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,10,28,8,8,True,0.0597303580646046,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,10,30,8,12,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,10,6,8,8,True,0.0,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,27,28,8,8,True,0.0114193914724171,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,27,30,8,12,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,27,6,8,8,True,0.0585194961727036,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,28,30,8,12,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,28,6,8,8,True,0.0597303580646046,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211,7y3sRwLe3Va,30,6,12,8,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,10,11,8,8,True,0.1396080454407102,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,10,17,8,8,True,0.0904777107422369,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,10,33,8,12,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,10,6,8,8,True,0.0,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,11,17,8,8,True,0.1305791651443833,descriptive_cyclic_rmse_not_c1_frozen_similarity
C1,校准一阶段,manual,纯人工,7y3sRwLe3Va_9e4c92fd7eb74504baecf55a3264716e,7y3sRwLe3Va,11,33,8,12,False,,descriptive_cyclic_rmse_not_c1_frozen_similarity
