reason_left,reason_left_zh,reason_right,reason_right_zh,overlap_record_count,jaccard
quality_not_computable,GT/质量指标不可计算,active_time_not_computable,Active time 不可计算,358,0.19268030139935413
quality_not_computable,GT/质量指标不可计算,historical_retained_worker,历史状态工人但仍保留,119,0.06453362255965293
administrative_exclusion,行政退出/行政排除,active_time_not_computable,Active time 不可计算,89,0.20601851851851852
geometry_not_computable,几何不可计算,quality_not_computable,GT/质量指标不可计算,63,0.035254616675993285
administrative_exclusion,行政退出/行政排除,quality_not_computable,GT/质量指标不可计算,59,0.03252480705622933
scope_oos_or_ineligible,范围外或 Scope 不满足,quality_not_computable,GT/质量指标不可计算,53,0.029708520179372196
active_time_not_computable,Active time 不可计算,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,48,0.05200433369447454
manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,historical_retained_worker,历史状态工人但仍保留,47,0.07004470938897168
independence_ineligible,独立性条件不足,active_time_not_computable,Active time 不可计算,41,0.09490740740740741
geometry_not_computable,几何不可计算,active_time_not_computable,Active time 不可计算,36,0.07792207792207792
administrative_exclusion,行政退出/行政排除,independence_ineligible,独立性条件不足,32,0.32653061224489793
quality_not_computable,GT/质量指标不可计算,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,29,0.012641673931996512
independence_ineligible,独立性条件不足,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,25,0.04504504504504504
scope_oos_or_ineligible,范围外或 Scope 不满足,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,25,0.04409171075837742
administrative_exclusion,行政退出/行政排除,manual_only_no_semi_candidate,只有 Manual、没有 Semi 候选,22,0.036303630363036306
outside_assignment,任务分配之外的提交,independence_ineligible,独立性条件不足,9,0.21951219512195122
outside_assignment,任务分配之外的提交,formal_assignment_ineligible,正式分配资格不足,9,1.0
outside_assignment,任务分配之外的提交,active_time_not_computable,Active time 不可计算,9,0.020833333333333332
