assumed_true_absolute_entropy_effect,approximate_total_independent_buildings_for_80pct_power,approximate_additional_buildings_beyond_current,approximate_total_paired_tasks_at_current_tasks_per_building,assumption,warning
0.05,239,230,664,normal approximation; current building-level variance; comparable independent future buildings,not a guarantee and invalid if future design/variance differs
0.1,60,51,167,normal approximation; current building-level variance; comparable independent future buildings,not a guarantee and invalid if future design/variance differs
0.15,27,18,75,normal approximation; current building-level variance; comparable independent future buildings,not a guarantee and invalid if future design/variance differs
0.2,15,6,42,normal approximation; current building-level variance; comparable independent future buildings,not a guarantee and invalid if future design/variance differs
