predictor_family,predictor,predictor_timing,task_count,building_count,group_0_count,group_1_count,group_0_mean_delta_entropy,group_1_mean_delta_entropy,group_mean_difference_1_minus_0,spearman_rho,cluster_bootstrap_rho_ci_lower,cluster_bootstrap_rho_ci_upper,wild_cluster_exact_or_mc_p,missing_predictor_not_imputed,q_bh_within_predictor_family,q_bh_global
legacy_or_reference_proxy,gt_pair_count,preoutcome_or_reference_derived; not frozen confirmatory risk,22,9,,,,,,0.296676029184406,-0.10155142286805405,0.652976317428823,0.26171875,True,0.337890625,0.78515625
legacy_or_reference_proxy,proposal_initial_quality_mean,preoutcome_or_reference_derived; not frozen confirmatory risk,21,9,,,,,,-0.3710861329028436,-0.6810902537868015,-0.33499814463079847,0.337890625,True,0.337890625,0.8447265625
legacy_difficulty_label,occlusion,legacy_preoutcome_proxy,19,9,8.0,11.0,-0.36178034220830635,0.28739301022370095,0.6491733524320074,0.576422833252047,0.031277785529155985,0.8478577928287758,0.06640625,True,0.46484375,0.78515625
legacy_difficulty_label,low_texture,legacy_preoutcome_proxy,19,9,16.0,3.0,-0.02156546311571368,0.20404259488189277,0.22560805799760647,-0.02645695612795876,-0.5996914838005477,0.5684744711909356,0.82421875,True,0.82421875,0.9510216346153846
legacy_difficulty_label,seam,legacy_preoutcome_proxy,19,9,16.0,3.0,0.012360353546141567,0.023104906018664866,0.0107445524725233,-0.02645695612795876,-0.378093097982496,0.20813664521553513,0.80859375,True,0.82421875,0.9510216346153846
legacy_difficulty_label,reflection,legacy_preoutcome_proxy,19,9,16.0,3.0,0.03143609016773652,-0.07863235596317486,-0.11006844613091138,-0.03968543419193814,-0.40812528310515217,0.4524723005839131,0.8125,True,0.82421875,0.9510216346153846
legacy_difficulty_label,trivial,legacy_preoutcome_proxy,19,9,15.0,4.0,0.13580491622829008,-0.44249834215752293,-0.578303258385813,-0.36678922475504155,-0.6859943405700354,0.2797835166684716,0.19921875,True,0.51953125,0.78515625
legacy_difficulty_label,low_quality,legacy_preoutcome_proxy,19,9,18.0,1.0,0.014837798599681089,0.0,-0.014837798599681089,-0.04320402844046635,-0.2529147778628351,0.11392316993715482,0.53515625,True,0.82421875,0.9510216346153846
legacy_difficulty_label,residual,legacy_preoutcome_proxy,19,9,17.0,2.0,0.03255951473687796,-0.14321568786633285,-0.1757752026032108,-0.15717774062844017,-0.46056618647183833,0.03765004346871164,0.22265625,True,0.51953125,0.78515625
manual_difficulty_choices_json,occlusion,worker_postresponse_tag,22,9,1.0,21.0,0.0,-0.002753541687140006,-0.002753541687140006,0.03454255319664252,-0.05043189009502791,0.235051850612292,0.64453125,True,0.98828125,0.9510216346153846
manual_difficulty_choices_json,low_texture,worker_postresponse_tag,22,9,13.0,9.0,0.058815501120466025,-0.09138065444399983,-0.15019615556446586,-0.07317136485149683,-0.4614510406717737,0.341685061051894,0.79296875,True,0.98828125,0.9510216346153846
manual_difficulty_choices_json,seam,worker_postresponse_tag,22,9,14.0,8.0,0.14967428103089753,-0.26915803873281324,-0.41883231976371077,-0.3739341072483474,-0.6687530974253676,0.09344220625489336,0.12109375,True,0.7265625,0.78515625
manual_difficulty_choices_json,reflection,worker_postresponse_tag,22,9,16.0,6.0,-0.0020747059216747743,-0.00410484678052403,-0.0020301408588492553,0.024233699873671747,-0.447444126244231,0.5331678502655539,0.9296875,True,0.98828125,0.98828125
manual_difficulty_choices_json,trivial,worker_postresponse_tag,22,9,5.0,17.0,-0.09887510598012983,0.025679479674747537,0.12455458565487737,-0.00858469013593393,-0.39138979569306276,0.4070230276195595,0.98828125,True,0.98828125,0.98828125
manual_difficulty_choices_json,low_quality,worker_postresponse_tag,22,9,17.0,5.0,0.06825613584419628,-0.24363573695625534,-0.3118918728004516,-0.06009283095153752,-0.31712672559730504,0.39817963432276454,0.765625,True,0.98828125,0.9510216346153846
manual_difficulty_choices_json,residual,worker_postresponse_tag,22,9,22.0,0.0,-0.0026283807013609147,,,,,,,True,,
