stage,stage_zh,case_code,row_count,task_count,worker_count,median_iou,median_edit_px,nonlargest_mode_rate,negative_metric_change_rate
C1,校准一阶段,acceptable_proposal_but_final_nonlargest_mode,10,10,6,0.962969245793776,0.7061035645848082,1.0,0.7
C1,校准一阶段,acceptable_proposal_but_low_GT_alignment,2,2,2,0.7919346245568327,12.00777374241468,0.5,1.0
C1,校准一阶段,acceptable_proposal_with_any_corner_edit,30,21,9,0.9416954317937679,5.398480604250853,0.26666666666666666,0.6666666666666666
C1,校准一阶段,acceptable_proposal_with_material_or_topology_edit,12,10,8,0.9363360635805102,10.146723258260657,0.08333333333333333,0.8333333333333334
C1,校准一阶段,acceptable_proposal_with_negative_metric_change,20,14,7,0.9274210564771739,8.791582906841997,0.35,1.0
C1,校准一阶段,model_problem_tag_without_geometry_edit,33,15,14,1.0,0.0,0.06060606060606061,0.0
C1,校准一阶段,trivial_tag_but_final_nonlargest_mode,7,7,5,0.9731017078355896,1.4122071291696163,1.0,0.7142857142857143
C1,校准一阶段,trivial_tag_but_material_edit,8,7,5,0.9264215064067638,11.521126056731912,0.125,0.75
P1,预筛,acceptable_proposal_with_any_corner_edit,146,18,19,,5.46482717144778,0.0,0.4931506849315068
P1,预筛,acceptable_proposal_with_material_or_topology_edit,56,8,12,,7.297345151013625,0.0,0.5714285714285714
P1,预筛,acceptable_proposal_with_negative_metric_change,72,15,12,,7.40349225774262,0.0,1.0
P1,预筛,model_problem_tag_without_geometry_edit,113,18,16,,0.0,0.0,0.0
P1,预筛,trivial_tag_but_long_active_time,6,5,6,,2.9114124124777527,0.0,0.3333333333333333
P1,预筛,trivial_tag_but_material_edit,53,11,16,,7.607846837055393,0.0,0.5849056603773585
