fact_type,project_id,task_id,annotator_id,session_id,event_count,raw_event_count,sandbox_event_n,timestamp_ms_n,observed_start_timestamp_ms,observed_end_timestamp_ms,observed_span_seconds,max_gap_seconds,gap_gt_60,max_events_per_60_seconds,multi_session_fact,formal_event_n,outside_or_stage_mismatch_n,observed_outside_or_stage_mismatch_n,clock_offset_median_seconds,clock_offset_p95_seconds,clock_offset_audit_only,observed_behavior_event_fields,coverage_field,field_name,observed_n,coverage_rate,description
session_sequence,20,2487,2,1781670422519-578115b5f355c,13.0,13.0,0.0,13.0,1781690078976.0,1781690386977.0,308.001,254.989,True,11.0,False,0.0,13.0,13.0,28801.529247760773,28801.55446138382,True,,,,,,
session_sequence,20,2487,6,1776697081658-f83dea5ec589f,1.0,1.0,0.0,1.0,1776776269620.0,1776776269620.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.561593294144,28799.561593294144,True,,,,,,
session_sequence,20,2491,6,1776697081658-f83dea5ec589f,1.0,1.0,0.0,1.0,1776778004475.0,1776778004475.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.63100194931,28799.63100194931,True,,,,,,
session_sequence,20,2496,2,1781670422519-578115b5f355c,15.0,15.0,0.0,15.0,1781672798977.0,1781674786976.0,1987.999,1518.234,True,4.0,False,0.0,15.0,15.0,28801.338188886642,28801.362094163895,True,,,,,,
session_sequence,20,2496,UNKNOWN,1781670422519-578115b5f355c,1.0,1.0,0.0,1.0,1781672740967.0,1781672740967.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28801.319331884384,28801.319331884384,True,,,,,,
session_sequence,20,2518,6,1776697081658-f83dea5ec589f,1.0,1.0,0.0,1.0,1776776912874.0,1776776912874.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.593022108078,28799.593022108078,True,,,,,,
session_sequence,20,2519,6,1776697081658-f83dea5ec589f,1.0,1.0,0.0,1.0,1776776939353.0,1776776939353.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28799.565920114517,28799.565920114517,True,,,,,,
session_sequence,20,2523,19,1782741314562-5a25303aad8aa,10.0,10.0,0.0,10.0,1782741627332.0,1782741780572.0,153.24,55.151,False,8.0,False,0.0,10.0,10.0,28800.067847013474,28800.079722499846,True,,,,,,
session_sequence,20,2523,UNKNOWN,1782741314562-5a25303aad8aa,1.0,1.0,0.0,1.0,1782741619616.0,1782741619616.0,0.0,0.0,False,1.0,False,0.0,1.0,1.0,28800.04726099968,28800.04726099968,True,,,,,,
session_sequence,20,2535,19,1782741314562-5a25303aad8aa,3.0,3.0,0.0,3.0,1782741783866.0,1782741895567.0,111.701,80.65,True,2.0,False,0.0,3.0,3.0,28800.067450761795,28800.073752021788,True,,,,,,
session_sequence,20,2536,19,1782741314562-5a25303aad8aa,6.0,6.0,0.0,6.0,1782741905407.0,1782741984569.0,79.162,40.295,False,4.0,False,0.0,6.0,6.0,28800.07769036293,28800.07937449217,True,,,,,,
session_sequence,20,2559,19,1782741314562-5a25303aad8aa,27.0,27.0,0.0,27.0,1782741988741.0,1782742663635.0,674.894,224.126,True,10.0,False,0.0,27.0,27.0,28800.0704061985,28800.079580402373,True,,,,,,
session_sequence,20,2585,19,1782741314562-5a25303aad8aa,21.0,21.0,0.0,21.0,1782742664565.0,1782743784563.0,1119.998,947.452,True,9.0,False,0.0,21.0,21.0,28800.080043792725,28800.097018003464,True,,,,,,
session_sequence,20,2588,19,1782741314562-5a25303aad8aa,7.0,7.0,0.0,7.0,1782743791927.0,1782743883568.0,91.641,29.788,False,5.0,False,0.0,7.0,7.0,28800.09325194359,28800.1039614439,True,,,,,,
session_sequence,20,2590,19,1782741314562-5a25303aad8aa,25.0,25.0,0.0,25.0,1782743885907.0,1782744180567.0,294.66,92.18,True,9.0,False,0.0,25.0,25.0,28800.092743873596,28800.107813596725,True,,,,,,
session_sequence,20,2594,6,1776697081658-f83dea5ec589f,2.0,2.0,0.0,2.0,1776776942018.0,1776776965660.0,23.642,23.642,False,2.0,False,0.0,2.0,2.0,28799.566015958786,28799.582007932662,True,,,,,,
session_sequence,20,2595,19,1782741314562-5a25303aad8aa,2.0,2.0,0.0,2.0,1782744183727.0,1782744299572.0,115.845,115.845,True,1.0,False,0.0,2.0,2.0,28800.102996468544,28800.10967849493,True,,,,,,
