base_task_id,manual_worker_id,semi_worker_id,manual_to_semi_rmse_diagonal_normalized,model_to_manual_rmse_diagonal_normalized,model_to_semi_rmse_diagonal_normalized,model_gt_residual,semi_gt_residual,reference_availability
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,8,6,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,8,11,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,8,33,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,8,36,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,14,6,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,14,11,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,14,33,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,14,36,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,18,6,0.17673396678441008,0.17673396678441008,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,18,11,0.17673396678441008,0.17673396678441008,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,18,33,0.17673396678441008,0.17673396678441008,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,18,36,0.17673396678441008,0.17673396678441008,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,31,6,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
7y3sRwLe3Va_ad77d6eeca5b492b8fe3317177f4f03f,31,11,,,3.7751664318895324e-17,0.0,0.0,operational_gt_available
