population,population_zh,row_count,task_count,worker_count,building_count,quality_per_risk_slope,standard_error,ci_lower,ci_upper,p_value,status,status_zh
all_computable,全部可计算,235,70.0,20.0,9.0,-0.022965919820391652,0.004590752565917203,-0.03196379484958937,-0.013968044791193934,1.1135955956684609e-06,descriptive_population_recompute,原始码：descriptive_population_recompute
formal_only,仅正式口径,227,67.0,20.0,9.0,-0.0260340119536166,0.004908776778897909,-0.0356552144402565,-0.0164128094669767,2.7109175841115445e-07,descriptive_population_recompute,原始码：descriptive_population_recompute
administrative_eligible,行政状态可纳入,235,70.0,20.0,9.0,-0.022965919820391652,0.004590752565917203,-0.03196379484958937,-0.013968044791193934,1.1135955956684609e-06,descriptive_population_recompute,原始码：descriptive_population_recompute
administrative_ineligible,行政状态不可纳入,0,,,,,,,,,not_evaluable,不可评价
