feature_classification,feature_classification_zh,predictor,outcome,row_count,task_count,worker_count,spearman_rho,ci_lower,ci_upper,permutation_p,status,status_zh
pre_task_image_only,标注前图像固有特征,mean_luma,delta_shannon_entropy,25,25,0,-0.267621431596806,-0.6104074662929043,0.1625787808185268,0.1798201798201798,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_gini_simpson,25,25,0,-0.2711496084506061,-0.6159146486660427,0.16261290163524642,0.17582417582417584,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_largest_mode_share,25,25,0,0.28184892278789225,-0.13985694096554568,0.62885530313825,0.16183816183816183,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_supported_multimodality,25,25,0,-0.287464172495481,-0.5991193950095721,0.07111028608257086,0.1848151848151848,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_pairwise_metric_dissimilarity_all,25,25,0,-0.18923076923076923,-0.5803451175048707,0.21073431298688178,0.35264735264735264,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_quality_iou,22,22,0,0.5561829474872955,0.22689607861440747,0.7962327656840381,0.008991008991008992,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,edit_rate,25,25,0,0.05233305650412706,-0.3530111672383952,0.41490481085272746,0.8011988011988012,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,edit_rmse_mean,21,21,0,-0.14853498994887981,-0.5842245642294346,0.2840855535716334,0.5394605394605395,estimated,已估计
pre_task_image_only,标注前图像固有特征,mean_luma,delta_metric_mean,21,21,0,0.09090909090909091,-0.3299906285769615,0.49788252820203716,0.7022977022977023,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_shannon_entropy,25,25,0,0.12241846149522007,-0.23970566680218133,0.47342566668256103,0.5634365634365635,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_gini_simpson,25,25,0,0.11780716606472202,-0.2435441637859597,0.47481881052319386,0.5754245754245755,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_largest_mode_share,25,25,0,-0.14402170230370318,-0.4969146620634261,0.22918130613611928,0.4885114885114885,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_supported_multimodality,25,25,0,0.5170739203377834,0.2499884374406857,0.7233240730014028,0.01098901098901099,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_pairwise_metric_dissimilarity_all,25,25,0,0.06307692307692309,-0.3104470487636316,0.4386596845204332,0.7582417582417582,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_quality_iou,22,22,0,-0.30095990965556185,-0.6223708058911995,0.05861636053191828,0.17282717282717283,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,edit_rate,25,25,0,-0.2153245607307213,-0.54669648479829,0.19712801254256695,0.3086913086913087,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,edit_rmse_mean,21,21,0,-0.17980551414864399,-0.6220453458485597,0.2691014589914562,0.44155844155844154,estimated,已估计
pre_task_image_only,标注前图像固有特征,horizontal_gradient_mean_wrap,delta_metric_mean,21,21,0,0.12467532467532469,-0.4129286949421202,0.5657477589994443,0.6033966033966034,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_shannon_entropy,25,25,0,-0.07491855372262679,-0.44786324252852155,0.2886035287736458,0.7082917082917083,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_gini_simpson,25,25,0,-0.0764780946911966,-0.44688436338143944,0.28247106161366725,0.7022977022977023,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_largest_mode_share,25,25,0,0.049168699442393285,-0.3095788994992057,0.4191623322578626,0.7912087912087912,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_supported_multimodality,25,25,0,0.2760138176162061,-0.1068547569108477,0.5963197517473398,0.19480519480519481,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_pairwise_metric_dissimilarity_all,25,25,0,0.09384615384615384,-0.2901648632200265,0.4002634352739719,0.6423576423576424,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_quality_iou,22,22,0,0.04121964991530209,-0.3492711665423876,0.46590528597912384,0.8731268731268731,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,edit_rate,25,25,0,-0.4793867771370418,-0.7241317064496211,-0.15088381405535709,0.022977022977022976,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,edit_rmse_mean,21,21,0,-0.27426855600209826,-0.6496923558002758,0.14981749886118223,0.23676323676323677,estimated,已估计
pre_task_image_only,标注前图像固有特征,seam_gradient_mean,delta_metric_mean,21,21,0,0.348051948051948,-0.11071353392902775,0.7169015072317447,0.12687312687312688,estimated,已估计
pre_task_image_only,标注前图像固有特征,vertical_edge_mean,delta_shannon_entropy,25,25,0,0.12241846149522007,-0.23970566680218133,0.47342566668256103,0.5634365634365635,estimated,已估计
pre_task_image_only,标注前图像固有特征,vertical_edge_mean,delta_gini_simpson,25,25,0,0.11780716606472202,-0.2435441637859597,0.47481881052319386,0.5754245754245755,estimated,已估计
