analysis_lane,analysis_lane_zh,inference_axis,inference_axis_zh,row_count,task_count,worker_count,spearman_rho,ci_lower,ci_upper,permutation_p,status,status_zh,missing_rule
all-computable,两指标均可计算,row,原始码：row,294,37,26,-0.4335678146155299,-0.5684657059478213,-0.2875997036054715,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
all-computable,两指标均可计算,task,原始码：task,37,37,26,-0.7037843066134686,-0.9157408517844711,-0.40058766248679445,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
all-computable,两指标均可计算,worker,原始码：worker,26,37,26,-0.6124614857925368,-0.7868260058866131,-0.2861139192315231,0.001998001998001998,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
exclude_joint_near_zero,排除联合近零,row,原始码：row,148,27,23,-0.31782589180373344,-0.4800009363774449,-0.129393740250733,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
exclude_joint_near_zero,排除联合近零,task,原始码：task,27,27,23,-0.6019536019536019,-0.8379390580680509,-0.24685460335432738,0.001998001998001998,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
exclude_joint_near_zero,排除联合近零,worker,原始码：worker,23,27,23,-0.6195652173913044,-0.7468863347636026,-0.3309640539045469,0.002997002997002997,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
edited-positive,编辑幅度大于阈值,row,原始码：row,148,27,23,-0.31782589180373344,-0.4800009363774449,-0.129393740250733,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
edited-positive,编辑幅度大于阈值,task,原始码：task,27,27,23,-0.6019536019536019,-0.8379390580680509,-0.24685460335432738,0.001998001998001998,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
edited-positive,编辑幅度大于阈值,worker,原始码：worker,23,27,23,-0.6195652173913044,-0.7468863347636026,-0.3309640539045469,0.002997002997002997,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
formal-only,正式资格敏感性,row,原始码：row,55,19,22,-0.9911067193675892,-0.9978463505699423,-0.970359303630536,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
formal-only,正式资格敏感性,task,原始码：task,19,19,22,-0.904424778761062,-0.9890515934745323,-0.6797153024911032,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
formal-only,正式资格敏感性,worker,原始码：worker,22,19,22,-0.9850560398505604,-1.0,-0.9229480668379189,0.000999000999000999,estimated,已估计,RMSE或delta_U缺失时不进入分母，绝不填零
