analysis_lane,analysis_lane_zh,task_variance,worker_variance,residual_variance,status,status_zh,converged,n_rows,n_tasks,n_workers,n_task_worker_cells,n_rows_dropped,warnings_json
quality_iou_to_gt,原始码：quality_iou_to_gt,0.006711054746138052,0.000349215407590262,0.004925919482603408,estimated,已估计,True,717,79,23,715,1784,"[""dropped_invalid_rows:1784"", ""The MLE may be on the boundary of the parameter space.""]"
geometry_mean_pairwise_rmse,原始码：geometry_mean_pairwise_rmse,0.0022623844043059512,9.546920025822776e-05,0.0011093164041257922,estimated,已估计,True,2168,205,26,2168,0,"[""The MLE may be on the boundary of the parameter space.""]"
meta_label_cardinality,原始码：meta_label_cardinality,0.034814363368029476,0.007651410168046603,0.11275417499486944,estimated,已估计,True,5574,583,26,5574,0,"[""The MLE may be on the boundary of the parameter space.""]"
log1p_active_time,原始码：log1p_active_time,0.13872696867424686,0.6208464346189485,0.4408759245392406,estimated,已估计,True,2069,214,24,2069,432,"[""dropped_invalid_rows:432""]"
