cohort,metric,k,method,horizon,images,buildings,supported_image_splits,valid_tv_image_splits,start_n,end_n,start_tv,end_tv,last_step_tv_change,n,tv,medoid_reference_error,prefix_clusters
all26,ospa30,2,A,4,109,17,2064,1396,2,4,0.3853384117702506,0.35308006763756095,-0.014979608432095504,2,0.3853384117702506,8.691806904620506,1.4202579872024568
all26,ospa30,2,A,4,109,17,2064,1396,2,4,0.3853384117702506,0.35308006763756095,-0.014979608432095504,3,0.36805967606965645,8.221444366399952,1.7426640913745002
all26,ospa30,2,A,4,109,17,2064,1396,2,4,0.3853384117702506,0.35308006763756095,-0.014979608432095504,4,0.35308006763756095,7.8608922250897475,1.986378841163505
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992,2,0.41191295704603814,5.370194266255536,1.4341489719561067
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992,3,0.3859835494552868,4.964979091228093,1.7655544442802082
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992,4,0.36755038400346646,4.5708706669713655,2.035179212890693
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992,5,0.35671026707610043,4.609969963587222,2.3061710803816067
all26,ospa30,2,A,6,92,15,1803,1147,2,6,0.41191295704603814,0.35047610124147344,-0.006234165834626992,6,0.35047610124147344,4.524932154339996,2.5386576034056647
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,2,0.4008495330049883,5.0122929175825215,1.4131272367505596
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,3,0.37961758580387717,4.459703329984816,1.7357064262444164
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,4,0.36119312119196023,4.204092141788382,2.0023362865204968
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,5,0.34933220493925565,4.172049990305684,2.252976924310258
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,6,0.342589137546743,4.056854712798674,2.4848922466422465
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,7,0.3329543387951494,3.892465804668061,2.7014534990245775
all26,ospa30,2,A,8,77,15,1509,893,2,8,0.4008495330049883,0.3281632690482135,-0.004791069746935883,8,0.3281632690482135,3.691958480147887,2.8952636788306294
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,2,0.43543293207565986,4.814833315182676,1.4491544433261911
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,3,0.4066242114080493,4.1625308496923665,1.8070102764993223
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,4,0.3840867293931085,3.902392914330397,2.0949132243070214
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,5,0.3716664553084607,3.630737043609832,2.36322190894895
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,6,0.36486794523668814,3.6142303410386205,2.620170999635285
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,7,0.3522251775276281,3.553307234706121,2.8698269266358998
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,8,0.34655602057319085,3.468801267321344,3.079347722907976
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,9,0.3434928915079888,3.4420831678405057,3.2881689496653244
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,10,0.34506398990621884,3.444425925885872,3.5579192195745395
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,11,0.3424111475758988,3.4547813444303905,3.770237972278196
all26,ospa30,2,A,12,67,14,1458,851,2,12,0.43543293207565986,0.343566173273753,0.001155025697854195,12,0.343566173273753,3.4352272989146684,3.9440553609552786
all26,ospa30,2,AAB,6,1,1,20,17,3,6,0.38235294117647056,0.392156862745098,0.009803921568627416,3,0.38235294117647056,2.4528235540147625,1.8235294117647058
all26,ospa30,2,AAB,6,1,1,20,17,3,6,0.38235294117647056,0.392156862745098,0.009803921568627416,6,0.392156862745098,2.5349413674459855,2.4705882352941178
all26,ospa30,2,AB,4,1,1,20,20,2,4,0.5125,0.5125,0.0,2,0.5125,8.192581263868927,1.85
all26,ospa30,2,AB,4,1,1,20,20,2,4,0.5125,0.5125,0.0,4,0.5125,2.6300734002065758,2.45
all26,ospa30,2,ALL,4,108,17,2064,1345,2,4,0.3960959938020347,0.36412558903656583,-0.013324773602042761,2,0.3960959938020347,8.84915614333848,1.4345792201212813
all26,ospa30,2,ALL,4,108,17,2064,1345,2,4,0.3960959938020347,0.36412558903656583,-0.013324773602042761,3,0.3774503626386086,8.289164196714664,1.7548464699694173
all26,ospa30,2,ALL,4,108,17,2064,1345,2,4,0.3960959938020347,0.36412558903656583,-0.013324773602042761,4,0.36412558903656583,7.938030108143023,2.005449747225928
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083,2,0.426777576835284,5.582246636684435,1.453015415459925
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083,3,0.39902660608319906,5.041966468908475,1.7821612004355754
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083,4,0.38257023638920595,4.6795098219184945,2.061857200298277
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083,5,0.3706601748390906,4.687864267134321,2.3256379742357556
all26,ospa30,2,ALL,6,91,15,1803,1096,2,6,0.426777576835284,0.3646888008952745,-0.005971373943816083,6,0.3646888008952745,4.640232080789575,2.5774357054476553
