feature,family,file,dimension,available_images,requested_images,pool_kind,scaling,full_vector_recoverable_from
hohonet__encoder_stage2__global,hohonet,hohonet__encoder_stage2__global.npz,256,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__encoder_stage2__regions,hohonet,hohonet__encoder_stage2__regions.npz,4096,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__encoder_stage4__global,hohonet,hohonet__encoder_stage4__global.npz,1024,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__encoder_stage4__regions,hohonet,hohonet__encoder_stage4__regions.npz,16384,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__compressed__global,hohonet,hohonet__compressed__global.npz,2048,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__compressed__regions,hohonet,hohonet__compressed__regions.npz,32768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__refined__global,hohonet,hohonet__refined__global.npz,2048,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__refined__regions,hohonet,hohonet__refined__regions.npz,32768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__shared__global,hohonet,hohonet__shared__global.npz,512,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__shared__regions,hohonet,hohonet__shared__regions.npz,8192,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
hohonet__legacy_current,hohonet,hohonet__legacy_current.npz,256,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fc__global,bilayout,bilayout__fc__global.npz,1024,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fc__regions,bilayout,bilayout__fc__regions.npz,16384,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fg_enclosed__global,bilayout,bilayout__fg_enclosed__global.npz,1024,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fg_enclosed__regions,bilayout,bilayout__fg_enclosed__regions.npz,16384,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fg_extended__global,bilayout,bilayout__fg_extended__global.npz,1024,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
bilayout__fg_extended__regions,bilayout,bilayout__fg_extended__regions.npz,16384,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
ulayout__compressed__global,ulayout,ulayout__compressed__global.npz,2048,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
ulayout__compressed__local16,ulayout,ulayout__compressed__local16.npz,32768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
ulayout__transformer__global,ulayout,ulayout__transformer__global.npz,2048,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
ulayout__transformer__local16,ulayout,ulayout__transformer__local16.npz,32768,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__panorama_global,dinov3,dinov3__block3__panorama_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__faces_global,dinov3,dinov3__block3__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__panorama_local16,dinov3,dinov3__block3__panorama_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__faces_local16,dinov3,dinov3__block3__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__panorama_mean,dinov3,dinov3__block3__panorama_mean.npz,768,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__faces_concat,dinov3,dinov3__block3__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block3__faces_local96,dinov3,dinov3__block3__faces_local96.npz,147456,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__panorama_global,dinov3,dinov3__block6__panorama_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__faces_global,dinov3,dinov3__block6__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__panorama_local16,dinov3,dinov3__block6__panorama_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__faces_local16,dinov3,dinov3__block6__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__panorama_mean,dinov3,dinov3__block6__panorama_mean.npz,768,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__faces_concat,dinov3,dinov3__block6__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block6__faces_local96,dinov3,dinov3__block6__faces_local96.npz,147456,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__panorama_global,dinov3,dinov3__block9__panorama_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__faces_global,dinov3,dinov3__block9__faces_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__panorama_local16,dinov3,dinov3__block9__panorama_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__faces_local16,dinov3,dinov3__block9__faces_local16.npz,24576,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__panorama_mean,dinov3,dinov3__block9__panorama_mean.npz,768,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__faces_concat,dinov3,dinov3__block9__faces_concat.npz,9216,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block9__faces_local96,dinov3,dinov3__block9__faces_local96.npz,147456,205,205,additional_numeric_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
dinov3__block11__panorama_global,dinov3,dinov3__block11__panorama_global.npz,1536,205,205,prespecified_layer_and_pool,per-image L2; training-centering and PCA are fitted only inside folds,original source NPZ; exact Gram suffices for this numerical pipeline
