pool,condition,target,algorithm,outer_building,selected_candidate,inner_loss,inner_n
selected_existing_deep,manual,cdf_early7,knn,7y3sRwLe3Va,bilayout__fg_enclosed__regions,0.354634146341,41
selected_existing_deep,manual,cdf_early7,knn,B6ByNegPMKs,hohonet__encoder_stage4__regions,0.39975,40
selected_existing_deep,manual,cdf_early7,knn,S9hNv5qa7GM,hohonet__encoder_stage4__regions,0.393333333333,41
selected_existing_deep,manual,cdf_early7,knn,UwV83HsGsw3,da3__layer9__faces_concat,0.41415,40
selected_existing_deep,manual,cdf_early7,knn,X7HyMhZNoso,hohonet__encoder_stage4__regions,0.379674796748,41
selected_existing_deep,manual,cdf_early7,knn,b8cTxDM8gDG,hohonet__encoder_stage4__regions,0.396585365854,41
selected_existing_deep,manual,cdf_early7,knn,e9zR4mvMWw7,hohonet__encoder_stage4__regions,0.396,40
selected_existing_deep,manual,cdf_early7,knn,jtcxE69GiFV,hohonet__encoder_stage4__regions,0.391,40
selected_existing_deep,manual,cdf_early7,knn,pRbA3pwrgk9,da3__layer9__faces_concat,0.37875,40
selected_existing_deep,manual,cdf_early7,knn,q9vSo1VnCiC,hohonet__encoder_stage4__regions,0.387297297297,37
selected_existing_deep,manual,cdf_early7,knn,rPc6DW4iMge,da3__layer9__faces_concat,0.371459459459,37
selected_existing_deep,manual,cdf_early7,knn,uNb9QFRL6hY,hohonet__encoder_stage4__regions,0.341142857143,35
selected_existing_deep,manual,cdf_early7,knn,wc2JMjhGNzB,hohonet__encoder_stage4__regions,0.369279279279,37
selected_existing_deep,manual,cdf_early7,knn,x8F5xyUWy9e,hohonet__encoder_stage4__regions,0.392357723577,41
selected_existing_deep,manual,cdf_early7,knn,yqstnuAEVhm,da3__layer9__faces_global,0.375135135135,37
selected_existing_deep,manual,cdf_early7,ridge,7y3sRwLe3Va,da3__layer11__faces_global,0.347418603113,41
selected_existing_deep,manual,cdf_early7,ridge,B6ByNegPMKs,da3__layer7__faces_global,0.333441173929,40
selected_existing_deep,manual,cdf_early7,ridge,S9hNv5qa7GM,da3__layer11__faces_global,0.337950661706,41
selected_existing_deep,manual,cdf_early7,ridge,UwV83HsGsw3,da3__layer5__faces_global,0.34368936644,40
selected_existing_deep,manual,cdf_early7,ridge,X7HyMhZNoso,da3__layer11__faces_global,0.351256517508,41
selected_existing_deep,manual,cdf_early7,ridge,b8cTxDM8gDG,da3__layer11__faces_global,0.355645684387,41
selected_existing_deep,manual,cdf_early7,ridge,e9zR4mvMWw7,da3__layer11__faces_global,0.368489952059,40
selected_existing_deep,manual,cdf_early7,ridge,jtcxE69GiFV,da3__layer11__faces_global,0.328904734811,40
selected_existing_deep,manual,cdf_early7,ridge,pRbA3pwrgk9,da3__layer9__faces_concat,0.33455239123,40
selected_existing_deep,manual,cdf_early7,ridge,q9vSo1VnCiC,da3__layer5__faces_global,0.351965816784,37
selected_existing_deep,manual,cdf_early7,ridge,rPc6DW4iMge,da3__layer11__faces_concat,0.373077988457,37
selected_existing_deep,manual,cdf_early7,ridge,uNb9QFRL6hY,da3__layer11__faces_local16,0.354163136919,35
selected_existing_deep,manual,cdf_early7,ridge,wc2JMjhGNzB,da3__layer11__faces_global,0.34827150812,37
selected_existing_deep,manual,cdf_early7,ridge,x8F5xyUWy9e,da3__layer11__faces_global,0.34431122304,41
selected_existing_deep,manual,cdf_early7,ridge,yqstnuAEVhm,da3__layer11__faces_global,0.360503043584,37
selected_existing_deep,manual,cdf_observed_by19,knn,7y3sRwLe3Va,da3__layer5__faces_concat,0.246991869919,41
selected_existing_deep,manual,cdf_observed_by19,knn,B6ByNegPMKs,da3__layer5__faces_concat,0.24375,40
selected_existing_deep,manual,cdf_observed_by19,knn,S9hNv5qa7GM,da3__layer11__faces_local16,0.240097560976,41
selected_existing_deep,manual,cdf_observed_by19,knn,UwV83HsGsw3,da3__layer5__faces_concat,0.226833333333,40
selected_existing_deep,manual,cdf_observed_by19,knn,X7HyMhZNoso,da3__layer5__faces_concat,0.246243902439,41
selected_existing_deep,manual,cdf_observed_by19,knn,b8cTxDM8gDG,hohonet__encoder_stage2__regions,0.222536585366,41
selected_existing_deep,manual,cdf_observed_by19,knn,e9zR4mvMWw7,da3__layer5__faces_concat,0.237083333333,40
selected_existing_deep,manual,cdf_observed_by19,knn,jtcxE69GiFV,da3__layer5__faces_concat,0.228333333333,40
selected_existing_deep,manual,cdf_observed_by19,knn,pRbA3pwrgk9,da3__layer7__faces_concat,0.239666666667,40
selected_existing_deep,manual,cdf_observed_by19,knn,q9vSo1VnCiC,da3__layer5__faces_concat,0.230054054054,37
selected_existing_deep,manual,cdf_observed_by19,knn,rPc6DW4iMge,da3__layer7__faces_concat,0.255675675676,37
selected_existing_deep,manual,cdf_observed_by19,knn,uNb9QFRL6hY,da3__layer11__faces_local16,0.223314285714,35
selected_existing_deep,manual,cdf_observed_by19,knn,wc2JMjhGNzB,da3__layer5__faces_local16,0.238432432432,37
selected_existing_deep,manual,cdf_observed_by19,knn,x8F5xyUWy9e,da3__layer5__faces_concat,0.239853658537,41
selected_existing_deep,manual,cdf_observed_by19,knn,yqstnuAEVhm,da3__layer9__faces_local16,0.221801801802,37
selected_existing_deep,manual,cdf_observed_by19,ridge,7y3sRwLe3Va,da3__layer11__faces_global,0.21357040913,41
selected_existing_deep,manual,cdf_observed_by19,ridge,B6ByNegPMKs,da3__layer11__faces_global,0.214153833683,40
selected_existing_deep,manual,cdf_observed_by19,ridge,S9hNv5qa7GM,da3__layer11__faces_global,0.199095061336,41
selected_existing_deep,manual,cdf_observed_by19,ridge,UwV83HsGsw3,da3__layer11__faces_global,0.221999927122,40
selected_existing_deep,manual,cdf_observed_by19,ridge,X7HyMhZNoso,da3__layer7__faces_global,0.20854619578,41
selected_existing_deep,manual,cdf_observed_by19,ridge,b8cTxDM8gDG,da3__layer11__faces_global,0.205281915981,41
selected_existing_deep,manual,cdf_observed_by19,ridge,e9zR4mvMWw7,da3__layer11__faces_global,0.215095295957,40
selected_existing_deep,manual,cdf_observed_by19,ridge,jtcxE69GiFV,da3__layer7__faces_global,0.187962507549,40
selected_existing_deep,manual,cdf_observed_by19,ridge,pRbA3pwrgk9,da3__layer11__faces_global,0.219565300101,40
selected_existing_deep,manual,cdf_observed_by19,ridge,q9vSo1VnCiC,da3__layer11__faces_global,0.220038210131,37
selected_existing_deep,manual,cdf_observed_by19,ridge,rPc6DW4iMge,da3__layer11__faces_global,0.233726895582,37
selected_existing_deep,manual,cdf_observed_by19,ridge,uNb9QFRL6hY,da3__layer11__faces_global,0.200608188103,35
selected_existing_deep,manual,cdf_observed_by19,ridge,wc2JMjhGNzB,da3__layer11__faces_local16,0.219460755121,37
selected_existing_deep,manual,cdf_observed_by19,ridge,x8F5xyUWy9e,da3__layer11__faces_global,0.206688038173,41
selected_existing_deep,manual,cdf_observed_by19,ridge,yqstnuAEVhm,da3__layer11__faces_global,0.195953430995,37
selected_existing_deep,manual,half_tv,knn,7y3sRwLe3Va,hohonet__encoder_stage4__global,0.10406588579,124
selected_existing_deep,manual,half_tv,knn,B6ByNegPMKs,hohonet__encoder_stage4__global,0.103840313115,124
selected_existing_deep,manual,half_tv,knn,S9hNv5qa7GM,hohonet__encoder_stage4__global,0.10246942365,131
selected_existing_deep,manual,half_tv,knn,UwV83HsGsw3,hohonet__encoder_stage4__global,0.102345300811,125
selected_existing_deep,manual,half_tv,knn,VFuaQ6m2Qom,hohonet__encoder_stage4__global,0.104256512708,130
selected_existing_deep,manual,half_tv,knn,X7HyMhZNoso,hohonet__encoder_stage4__global,0.102957310363,130
selected_existing_deep,manual,half_tv,knn,Z6MFQCViBuw,hohonet__encoder_stage4__global,0.1057518433,130
selected_existing_deep,manual,half_tv,knn,b8cTxDM8gDG,hohonet__encoder_stage4__global,0.104959914977,130
selected_existing_deep,manual,half_tv,knn,e9zR4mvMWw7,hohonet__encoder_stage4__global,0.104477591018,129
selected_existing_deep,manual,half_tv,knn,jh4fc5c5qoQ,hohonet__encoder_stage4__global,0.104191397529,132
selected_existing_deep,manual,half_tv,knn,jtcxE69GiFV,hohonet__encoder_stage4__global,0.105329729257,129
selected_existing_deep,manual,half_tv,knn,pRbA3pwrgk9,hohonet__encoder_stage4__global,0.105226754496,130
selected_existing_deep,manual,half_tv,knn,pa4otMbVnkk,hohonet__encoder_stage4__global,0.103246616645,132
