target,horizon,control,images,buildings,partial_images,coefficient,lo,hi,rank,columns
full_p_by_8,all,log_n,133,20,99,-0.39316135338185987,-0.5433292741611382,-0.2429934326025816,32,33
full_p_by_8,all,n_categories,133,20,99,-0.35000487375283074,-0.5169478567428153,-0.18306189076284618,39,40
full_p_by_8,n_ge_19,log_n,46,15,32,-0.2697681024311764,-0.8919618622357615,0.35242565737340864,24,24
full_p_by_8,n_ge_19,n_categories,46,15,32,-0.26992417418074005,-0.9376746901441093,0.39782634178262927,26,27
core10_p_by_19,all,log_n,133,20,99,-0.3525733682241812,-0.5087542422607969,-0.19639249418756555,32,33
core10_p_by_19,all,n_categories,133,20,99,-0.35426031351123655,-0.5144817295444459,-0.19403889747802713,39,40
core10_p_by_19,n_ge_19,log_n,46,15,32,-0.8005295406657156,-0.9899381725024754,-0.6111209088289558,24,24
core10_p_by_19,n_ge_19,n_categories,46,15,32,-0.7911261664669706,-1.0049213237671732,-0.577331009166768,26,27
late_quarter_new,all,log_n,133,20,99,0.21725445994433196,0.06328694358471806,0.3712219763039458,32,33
late_quarter_new,all,n_categories,133,20,99,0.19353355117345,0.017057040137621826,0.3700100622092782,39,40
late_quarter_new,n_ge_19,log_n,46,15,32,0.31907392033652604,0.05548079119771954,0.5826670494753325,24,24
late_quarter_new,n_ge_19,n_categories,46,15,32,0.3403964180243643,0.12711166222577136,0.5536811738229572,26,27
