condition,target,feature,baseline,images,buildings,loss,baseline_loss,delta,lo,hi
manual,candidate_v2,da3__layer11__faces_concat,constant,61,15,0.6954104009839837,0.6598838137050655,0.03552658727891803,-0.024488273667373484,0.12979967187300268
manual,candidate_v2,da3__layer11__faces_concat,feedback_counts,60,15,0.69161085438795,0.6196211072191667,0.07198974716878336,-0.01954805656192882,0.1834904034471244
manual,candidate_v2,da3__layer11__faces_global,constant,61,15,0.6380042965020655,0.6598838137050655,-0.021879517202999993,-0.09359694777599563,0.06487430663427422
manual,candidate_v2,da3__layer11__faces_global,feedback_counts,60,15,0.6330158627412165,0.6196211072191667,0.013394755522050014,-0.06457913606521058,0.11130793703304037
manual,candidate_v2,da3__layer11__faces_local16,constant,61,15,0.653511524212067,0.6598838137050655,-0.006372289492998362,-0.08082300826207288,0.08123933758931995
manual,candidate_v2,da3__layer11__faces_local16,feedback_counts,60,15,0.6500346417374848,0.6196211072191667,0.03041353451831835,-0.051199771055915125,0.12885992192357132
manual,candidate_v2,da3__layer5__faces_concat,constant,61,15,0.6714043187087051,0.6598838137050655,0.011520505003639336,0.0006703114263428881,0.03273634284417332
manual,candidate_v2,da3__layer5__faces_concat,feedback_counts,60,15,0.6657711619425168,0.6196211072191667,0.046150054723350015,-0.005745405803117878,0.10669124972024659
manual,candidate_v2,da3__layer5__faces_global,constant,61,15,0.5996777711130388,0.6598838137050655,-0.06020604259202672,-0.13051588292174485,0.009975733514099716
manual,candidate_v2,da3__layer5__faces_global,feedback_counts,60,15,0.5884363950120893,0.6196211072191667,-0.031184712207077157,-0.0983776433087133,0.04910167699078038
manual,candidate_v2,da3__layer5__faces_local16,constant,61,15,0.6532925715925638,0.6598838137050655,-0.00659124211250164,-0.0465560979368881,0.02841708292783349
manual,candidate_v2,da3__layer5__faces_local16,feedback_counts,60,15,0.6450871022494399,0.6196211072191667,0.025465995030273345,-0.027973368157618715,0.07517795215717488
manual,candidate_v2,da3__layer7__faces_concat,constant,61,15,0.6589705648821967,0.6598838137050655,-0.0009132488228688527,-0.01978805915642666,0.024479598104627485
manual,candidate_v2,da3__layer7__faces_concat,feedback_counts,60,15,0.6535945088136167,0.6196211072191667,0.03397340159445001,-0.01875060386338641,0.09285145679149039
manual,candidate_v2,da3__layer7__faces_global,constant,61,15,0.5905080804303803,0.6598838137050655,-0.06937573327468526,-0.15470908814013457,0.005031160479958757
manual,candidate_v2,da3__layer7__faces_global,feedback_counts,60,15,0.5809035101602199,0.6196211072191667,-0.03871759705894666,-0.10549357650712873,0.03003988621068597
manual,candidate_v2,da3__layer7__faces_local16,constant,61,15,0.6347763257216802,0.6598838137050655,-0.025107487983385482,-0.09706163903486381,0.04840524211079548
manual,candidate_v2,da3__layer7__faces_local16,feedback_counts,60,15,0.6300887820749915,0.6196211072191667,0.010467674855824774,-0.05902659368983152,0.10072940723038828
manual,candidate_v2,da3__layer9__faces_concat,constant,61,15,0.6909699609813771,0.6598838137050655,0.03108614727631148,-0.02170557943026465,0.10986784095761082
manual,candidate_v2,da3__layer9__faces_concat,feedback_counts,60,15,0.68753152727885,0.6196211072191667,0.06791042005968335,-0.014236763729759749,0.16458919061444743
manual,candidate_v2,da3__layer9__faces_global,constant,61,15,0.6037137731075245,0.6598838137050655,-0.05617004059754099,-0.1251054910649336,0.02787034121730942
manual,candidate_v2,da3__layer9__faces_global,feedback_counts,60,15,0.5978458148873333,0.6196211072191667,-0.02177529233183332,-0.10227392703745673,0.07301929421584283
manual,candidate_v2,da3__layer9__faces_local16,constant,61,15,0.6432931329825428,0.6598838137050655,-0.016590680722522948,-0.09496954061668125,0.07446066497597856
manual,candidate_v2,da3__layer9__faces_local16,feedback_counts,60,15,0.6406290828718518,0.6196211072191667,0.02100797565268501,-0.07403553856001462,0.12843577089807687
manual,core10_p_by_19,da3__layer11__faces_concat,constant,133,20,0.3210195778522768,0.2995676691729323,0.021451908679344506,0.004290448324089316,0.043386334384888675
manual,core10_p_by_19,da3__layer11__faces_concat,feedback_counts,131,20,0.32101519021336433,0.300696145983455,0.02031904422990924,-0.0026264284324903596,0.04410303873176242
manual,core10_p_by_19,da3__layer11__faces_global,constant,133,20,0.29853697108979976,0.2995676691729323,-0.0010306980831325575,-0.023496599505862907,0.02302223328795124
manual,core10_p_by_19,da3__layer11__faces_global,feedback_counts,131,20,0.30007704306670585,0.300696145983455,-0.0006191029167491548,-0.02358981903306917,0.021454856554496544
manual,core10_p_by_19,da3__layer11__faces_local16,constant,133,20,0.3019201492285165,0.2995676691729323,0.002352480055584138,-0.015369804779319556,0.026387251950645074
manual,core10_p_by_19,da3__layer11__faces_local16,feedback_counts,131,20,0.3034018322948922,0.300696145983455,0.0027056863114372585,-0.018955910771730807,0.027863598465091347
manual,core10_p_by_19,da3__layer5__faces_concat,constant,133,20,0.31662342047954806,0.2995676691729323,0.017055751306615713,-0.001313494389995428,0.04282247606151249
manual,core10_p_by_19,da3__layer5__faces_concat,feedback_counts,131,20,0.3162755906310831,0.300696145983455,0.015579444647628097,-0.00618601032832827,0.04457143718364837
manual,core10_p_by_19,da3__layer5__faces_global,constant,133,20,0.31718012802316126,0.2995676691729323,0.01761245885022887,-0.0013368181235440802,0.0494008327183895
manual,core10_p_by_19,da3__layer5__faces_global,feedback_counts,131,20,0.3170046646227033,0.300696145983455,0.01630851863924833,-0.007696018394900022,0.05228029905681957
manual,core10_p_by_19,da3__layer5__faces_local16,constant,133,20,0.3254296185386726,0.2995676691729323,0.025861949365740225,0.006335506914012881,0.057235445498043214
