pair_id,relation_eligible,max_angle,archived_max_angle
pair0000,True,108.15151437466598,108.151514375
pair0001,True,122.59551349271021,122.595513493
pair0002,True,68.80914915868088,68.8091491587
pair0003,True,75.95752861564867,75.9575286156
pair0004,True,99.57669925979644,99.5766992598
pair0005,True,148.10162819035446,148.10162819
pair0006,True,86.04036981486294,86.0403698149
pair0007,True,47.15069902079486,47.1506990208
pair0008,True,93.75258203057572,93.7525820306
pair0009,True,99.88024912617989,99.8802491262
pair0010,True,176.2321859894647,176.232185989
pair0011,True,104.7610680376328,104.761068038
pair0012,False,112.22748435437617,112.227484354
pair0013,True,121.59307471986081,121.59307472
pair0014,True,149.2663411683155,149.266341168
pair0015,False,175.18234973042004,175.18234973
pair0016,False,179.1850917734006,179.185091773
pair0017,True,117.9499687023918,117.949968702
pair0018,True,143.32955674372513,143.329556744
pair0019,False,109.06464281639185,109.064642816
pair0020,True,179.50583651478195,179.505836515
pair0021,True,109.1575030713206,109.157503071
pair0022,True,144.06752759467363,144.067527595
pair0023,True,168.1497620532436,168.149762053
pair0024,True,123.51648863166852,123.516488632
pair0025,True,143.60730541038083,143.60730541
pair0026,False,110.1197125760809,110.119712576
pair0027,True,143.9389050124864,143.938905012
pair0028,False,93.05165259165292,93.0516525917
pair0029,False,179.33339549987753,179.3333955
pair0030,True,165.64910775922866,165.649107759
pair0031,False,179.30380978226646,179.303809782
pair0032,True,104.31528353779701,104.315283538
pair0033,True,171.4680824765206,171.468082477
pair0034,True,159.65310063801434,159.653100638
pair0035,True,83.35230254021175,83.3523025402
pair0036,False,166.92165908127325,166.921659081
pair0037,True,108.82993682034103,108.82993682
pair0038,True,120.95511385296294,120.955113853
pair0039,True,168.92667029803374,168.926670298
pair0040,False,117.65552379813062,117.655523798
pair0041,True,115.39861683865885,115.398616839
pair0042,False,169.584375940679,169.584375941
pair0043,False,63.11875514657776,63.1187551466
pair0044,True,118.616923659101,118.616923659
pair0045,True,177.9568973452464,177.956897345
pair0046,False,69.25744810933992,69.2574481093
pair0047,False,178.3404988208084,178.340498821
pair0048,True,154.35985050304822,154.359850503
pair0049,False,177.92090668945823,177.920906689
pair0050,False,177.0925459246166,177.092545925
pair0051,False,169.52294990216586,169.522949902
pair0052,False,117.43311744298364,117.433117443
pair0053,True,129.74109183004373,129.74109183
pair0054,False,86.04337879381464,86.0433787938
pair0055,True,177.89030543578843,177.890305436
pair0056,False,61.88626826551262,61.8862682655
pair0057,False,118.0836149524129,118.083614952
pair0058,False,125.47511207533125,125.475112075
pair0059,True,171.87682128379728,171.876821284
pair0060,False,101.6253315981322,101.625331598
