scene_category,partial,present
储藏与家务辅助,5,0
卧室,27,0
卫浴,30,4
厨房与用餐,8,0
复合／待定,4,2
"复合／待定  , 厨房 客厅",1,0
工作与学习,3,0
开放复合空间,3,0
无法判断,0,1
特殊用途,2,0
起居与休闲,13,0
通行与连接,3,27
