cohort,reference_set,cap,rows,images,workers,buildings,continuous_record_gain,continuous_building_gain,coarse_record_gain,coarse_building_gain
all26,all_accepted_references,30,1464,147,26,22,0.1899326284,0.122397244416,0.044880965487,-0.0202007540645
all26,all_accepted_references,60,1464,147,26,22,0.162938618076,0.0767579387981,0.0360630202799,-0.0538247243935
all26,reviewed_reference_only,30,820,38,26,11,0.260894378356,0.243489896054,0.0671634382556,0.044780399526
all26,reviewed_reference_only,60,820,38,26,11,0.241148955791,0.225314643625,0.0668921268019,0.0458665799766
current20,all_accepted_references,30,1247,147,20,22,0.0838843870923,0.0338353543025,0.0341450522898,0.00423331300442
current20,all_accepted_references,60,1247,147,20,22,0.0714999232521,0.00067278756905,0.0327152355483,-0.00761770950768
current20,reviewed_reference_only,30,666,38,20,11,0.119893159567,0.0843105379695,0.0351808779962,0.0119148210703
current20,reviewed_reference_only,60,666,38,20,11,0.120171504483,0.0881597248872,0.0442823740831,0.0221516421235
without19_26,all_accepted_references,30,1434,147,24,22,0.0893560556744,0.0487790860751,0.0483079582182,0.0295273431675
without19_26,all_accepted_references,60,1434,147,24,22,0.0707835052586,0.00960502219377,0.0379640364457,0.00628715840324
without19_26,reviewed_reference_only,30,790,38,24,11,0.117663083664,0.107163845193,0.0509126579576,0.0394482303904
without19_26,reviewed_reference_only,60,790,38,24,11,0.105062855706,0.0921882100036,0.0688301153845,0.0684421817732
