cohort,config,design,same_lower,same_upper,outside_lower,outside_upper,old_benefit_lower,old_benefit_upper,shared_target_benefit_lower,shared_target_benefit_upper,target_unknown_width,source_unknown_width,buildings,buildings_positive_bound,buildings_negative_bound,buildings_unresolved
with_workers,ospa30_t6,leave_one_target,0.164730539882,0.675474343836,0.151669486345,0.619636153922,-0.523804857492,0.45490561404,-0.424061360671,0.353094024664,0.338873930537,0.338873930537,10,0,0,10
with_workers,ospa30_t6,one_source_image,0.209266422592,0.730184617366,0.18703335726,0.665139027675,-0.543151260106,0.455872605083,-0.458271948052,0.374869748915,0.338873930537,0.338873930537,10,0,0,10
with_workers,q_0.800,leave_one_target,0.2084760206,0.587150755603,0.202123232229,0.557678311386,-0.385027523374,0.349202290787,-0.307580749872,0.263445576736,0.246632019387,0.246632019387,10,0,0,10
with_workers,q_0.800,one_source_image,0.260119757281,0.644436108915,0.239942248161,0.597426251475,-0.404493860753,0.337306494194,-0.336780669492,0.266057436693,0.246632019387,0.246632019387,10,0,0,10
with_workers,q_0.850,leave_one_target,0.206981003068,0.58957897341,0.202735345472,0.559359460001,-0.386843627938,0.352378456933,-0.309096425948,0.267278856795,0.247987868159,0.247987868159,10,0,0,10
with_workers,q_0.850,one_source_image,0.258473551749,0.646996167186,0.240498351433,0.599344353076,-0.406497815753,0.340870801327,-0.338008754788,0.269925859878,0.247987868159,0.247987868159,10,0,0,10
with_workers,q_0.900,leave_one_target,0.176791401297,0.607414055285,0.176822466705,0.585225992026,-0.430591588579,0.408434590728,-0.340280975582,0.320844251818,0.290650636395,0.290650636395,10,0,0,10
with_workers,q_0.900,one_source_image,0.227704464705,0.667115427048,0.212523039609,0.626164887793,-0.454592387439,0.398460423088,-0.375358122084,0.326889320638,0.290650636395,0.290650636395,10,0,0,10
with_workers,q_0.925,leave_one_target,0.172984045638,0.641449222767,0.166891944511,0.600903203728,-0.474557278257,0.427919158089,-0.378060682159,0.327258226627,0.303654872066,0.303654872066,10,0,0,10
with_workers,q_0.925,one_source_image,0.21885372552,0.696563369096,0.203725157213,0.645528188304,-0.492838211882,0.426674462784,-0.413272177933,0.344788224286,0.303654872066,0.303654872066,10,0,0,10
