k,recipe,images,buildings,pairwise_OSPA30,medoid_reference_OSPA30,point_count_disagreement
2,A,41,12,5.26346700199,4.80232888254,0.229517834596
2,AB_equal,41,12,6.00944562393,5.54144472215,0.30688604798
2,B,41,12,5.95188536049,6.21996897171,0.296885258838
4,A,41,12,5.29385078095,3.93384265965,0.232569970539
4,AB_equal,41,12,5.84343229548,4.69440297586,0.290594749579
4,B,41,12,5.93170017591,5.12695245628,0.289459438131
6,A,41,12,5.29156260449,3.74873576057,0.233112373737
6,AB_equal,41,12,5.80326038226,4.44896927509,0.286777988215
6,B,41,12,5.93659850688,4.87297130252,0.291008627946
