cohort,pool,cap,outcome,rows,images,workers,buildings,linear_vs_zero_gain,quadratic_vs_zero_gain,layer_vs_zero_gain,semi_vs_zero_gain,layer_vs_manual_quadratic_gain,continuous_semi_vs_layer_gain,delta_MSE,conditional_low,conditional_high,buildings_improved
all26,all_initializations,30,edit,574,43,26,12,-0.00446858609655,0.0386898948456,0.213539453273,0.328441012499,0.181886737162,0.146099584658,-2.27456338505,-3.16228904196,-1.51959026864,12
all26,all_initializations,30,final_via_edit_labels,540,40,26,12,0.0903052299415,0.0831779309006,0.107937540486,0.16582697554,0.0270059048751,0.0648939257965,-0.301787401307,-0.765779855543,0.124261048216,7
all26,all_initializations,60,edit,574,43,26,12,-0.00435513381302,0.037204882759,0.17295881716,0.238602250314,0.140999816025,0.0793714200887,-6.12610268128,-9.78331489077,-3.05732723671,11
all26,all_initializations,60,final_via_edit_labels,540,40,26,12,0.0928773817137,0.0815079990925,0.124742238654,0.139943960782,0.0470708939417,0.0173682802943,-1.99622217084,-5.02892849983,0.662586611645,8
all26,without_synthetic,30,edit,418,37,26,12,-0.00511427009857,0.0276028705254,0.224986407338,0.295111521777,0.202986548222,0.0904824316666,-2.89257847554,-5.01764341688,-1.22830814066,11
all26,without_synthetic,30,final_via_edit_labels,410,35,26,12,0.0426475263628,0.0363025071675,0.0393673256117,0.0936141791343,0.00318027022683,0.0564699233838,-0.0415911006992,-1.0120077224,1.16873058704,7
all26,without_synthetic,60,edit,418,37,26,12,-0.00620615258642,0.026082099077,0.163876681347,0.223139654595,0.141484802918,0.0708782687029,-7.20579522385,-15.4634322693,-1.54076708781,10
all26,without_synthetic,60,final_via_edit_labels,410,35,26,12,0.0452464590482,0.0378683497109,0.0183218599091,0.0585930479253,-0.0203158162356,0.0410228020484,1.00316743583,-3.84473289313,7.16078159356,7
current20,all_initializations,30,edit,453,43,20,12,0.0765435582252,0.121037187636,0.301266418253,0.342420631465,0.20504761758,0.0588982901177,-2.05265259241,-4.00767506523,-0.315109459708,10
current20,all_initializations,30,final_via_edit_labels,425,40,20,12,0.0412083020234,0.0486417079349,0.0776577169002,0.146824240773,0.0304995596374,0.0749900824677,-0.305148672119,-0.915417689346,0.253787031423,8
current20,all_initializations,60,edit,453,43,20,12,0.0545164863281,0.0909281779773,0.212121290026,0.237510671811,0.13331522231,0.0322249877597,-4.65352246255,-10.7109757545,1.47476471433,9
current20,all_initializations,60,final_via_edit_labels,425,40,20,12,0.0226300425378,0.0262743116349,0.0574834138737,0.0952550557999,0.0320512261427,0.0400753074081,-1.20346192924,-4.47310027457,1.89944079052,8
current20,without_synthetic,30,edit,333,37,20,12,0.0530210942724,0.0915366689724,0.195917049187,0.308015053561,0.114897736265,0.139410995173,-1.32006312871,-3.66525540817,0.453348595686,8
current20,without_synthetic,30,final_via_edit_labels,325,35,20,12,0.0381947322323,0.0595216817676,0.00377186550467,0.0997056966242,-0.0592781515343,0.0962970506431,0.651797215955,-0.235261884952,2.00924013069,6
current20,without_synthetic,60,edit,333,37,20,12,0.0379111526206,0.0704876162467,0.144059090512,0.220573889719,0.0791506122471,0.0893926185309,-3.24590051054,-10.3364351828,2.92310568942,8
current20,without_synthetic,60,final_via_edit_labels,325,35,20,12,0.0223052677747,0.0376818296059,0.000335335669991,0.0307671169074,-0.0388088836778,0.0304419895223,1.63101786423,-0.0728617316969,3.45042659598,3
