cohort,k,short_h,long_h,short_stable,long_stable,long_unknown,long_changing,long_stable_rate
with_workers,4,1,5,5997,2278,256,3463,0.379856594964
without_workers,4,1,5,6296,2878,231,3187,0.457115628971
