cohort,config,design,building,same_lower,same_upper,outside_lower,outside_upper,old_benefit_lower,old_benefit_upper,shared_target_benefit_lower,shared_target_benefit_upper,target_unknown_width,source_unknown_width
with_workers,ospa30_t6,leave_one_target,7y3sRwLe3Va,0.254780701754,0.739035087719,0.173500877193,0.636263157895,-0.565534210526,0.38148245614,-0.487844736842,0.266889473684,0.30649122807,0.30649122807
with_workers,ospa30_t6,leave_one_target,B6ByNegPMKs,0,0.620087719298,0.0533666666667,0.616351754386,-0.566721052632,0.616351754386,-0.43723245614,0.54205,0.496228070175,0.496228070175
with_workers,ospa30_t6,leave_one_target,S9hNv5qa7GM,0.210666666667,0.996666666667,0.219113333333,0.763323333333,-0.777553333333,0.552656666667,-0.661836666667,0.45045,0.426333333333,0.426333333333
with_workers,ospa30_t6,leave_one_target,UwV83HsGsw3,0.15737037037,0.512194444444,0.183724259259,0.615477222222,-0.328470185185,0.458106851852,-0.261544074074,0.396141666667,0.265787037037,0.265787037037
with_workers,ospa30_t6,leave_one_target,b8cTxDM8gDG,0.182631578947,0.933947368421,0.149528508772,0.712244152047,-0.784418859649,0.529612573099,-0.622423245614,0.365939327485,0.431184210526,0.431184210526
with_workers,ospa30_t6,leave_one_target,q9vSo1VnCiC,0.136657894737,0.647710526316,0.147536052632,0.597685,-0.500174473684,0.461027105263,-0.396581842105,0.341581578947,0.316894736842,0.316894736842
with_workers,ospa30_t6,leave_one_target,rPc6DW4iMge,0.196205882353,0.47487254902,0.141662352941,0.514840392157,-0.333210196078,0.318634509804,-0.266685686275,0.240403333333,0.187450980392,0.187450980392
with_workers,ospa30_t6,leave_one_target,uNb9QFRL6hY,0.0912542087542,0.590744949495,0.100362878788,0.548921632997,-0.490382070707,0.457667424242,-0.358326010101,0.333813173401,0.372546296296,0.372546296296
with_workers,ospa30_t6,leave_one_target,wc2JMjhGNzB,0.189953703704,0.695601851852,0.166756018519,0.610771296296,-0.528845833333,0.420817592593,-0.45515,0.327581481481,0.363680555556,0.363680555556
with_workers,ospa30_t6,leave_one_target,yqstnuAEVhm,0.227784391534,0.543882275132,0.181143915344,0.580483597884,-0.362738359788,0.352699206349,-0.292988888889,0.26609021164,0.222142857143,0.222142857143
with_workers,ospa30_t6,one_source_image,7y3sRwLe3Va,0.312456140351,0.814035087719,0.202426065163,0.662055137845,-0.611609022556,0.349598997494,-0.53305764411,0.26323433584,0.30649122807,0.30649122807
with_workers,ospa30_t6,one_source_image,B6ByNegPMKs,0.00166666666667,0.639035087719,0.0887293233083,0.683573934837,-0.550305764411,0.68190726817,-0.436984962406,0.607146616541,0.496228070175,0.496228070175
with_workers,ospa30_t6,one_source_image,S9hNv5qa7GM,0.210666666667,0.996666666667,0.219113333333,0.763323333333,-0.777553333333,0.552656666667,-0.661836666667,0.45045,0.426333333333,0.426333333333
