cohort,pool,metric,outcome,saved,recomputed,error
all26,all_initializations,ospa30,edit,0.13716458717,0.13716458717,0
all26,all_initializations,ospa30,final,0.0872451161718,0.0872451161718,2.77555756156e-17
all26,all_initializations,ospa30,final_via_edit_labels,0.0354007233165,0.0354007233165,6.24500451352e-17
all26,all_initializations,ospa60,edit,0.139412689487,0.139412689487,5.55111512313e-17
all26,all_initializations,ospa60,final,0.0402608707409,0.0402608707409,2.77555756156e-17
all26,all_initializations,ospa60,final_via_edit_labels,0.0508517675175,0.0508517675175,-2.01227923213e-16
all26,without_synthetic,ospa30,edit,0.186016081015,0.186016081015,5.55111512313e-17
all26,without_synthetic,ospa30,final,-0.000466185536267,-0.000466185536267,-1.615461237e-17
all26,without_synthetic,ospa30,final_via_edit_labels,0.00619014704609,0.00619014704609,2.60208521397e-18
all26,without_synthetic,ospa60,edit,0.136003458663,0.136003458663,0
all26,without_synthetic,ospa60,final,-0.0108048291682,-0.0108048291682,-8.50014503229e-17
all26,without_synthetic,ospa60,final_via_edit_labels,-0.0176901243018,-0.0176901243018,-3.12250225676e-17
current20,all_initializations,ospa30,edit,0.205686903583,0.205686903583,2.77555756156e-17
current20,all_initializations,ospa30,final,0.0765265516787,0.0765265516787,2.77555756156e-17
current20,all_initializations,ospa30,final_via_edit_labels,0.0310654108346,0.0310654108346,9.02056207508e-17
current20,all_initializations,ospa60,edit,0.142191230246,0.142191230246,2.77555756156e-17
current20,all_initializations,ospa60,final,0.0175642083085,0.0175642083085,-1.28369537222e-16
current20,all_initializations,ospa60,final_via_edit_labels,0.0297084655633,0.0297084655633,-2.11636264069e-16
current20,without_synthetic,ospa30,edit,0.116362852916,0.116362852916,8.32667268469e-17
current20,without_synthetic,ospa30,final,0.00298994419087,0.00298994419087,3.90312782095e-17
current20,without_synthetic,ospa30,final_via_edit_labels,-0.0580485921593,-0.0580485921593,-2.77555756156e-17
current20,without_synthetic,ospa60,edit,0.0666609907064,0.0666609907064,5.55111512313e-17
current20,without_synthetic,ospa60,final,-0.0813564806914,-0.0813564806914,-2.77555756156e-17
current20,without_synthetic,ospa60,final_via_edit_labels,-0.037644158342,-0.037644158342,-4.16333634234e-17
