cohort,building,config,fold_id,max_abs_error
with_workers,B6ByNegPMKs,ospa30_t6,3,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,4,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,5,1.11022302463e-16
with_workers,B6ByNegPMKs,ospa30_t6,6,4.16333634234e-17
with_workers,S9hNv5qa7GM,q_0.975,1,2.22044604925e-16
with_workers,S9hNv5qa7GM,q_0.975,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.950,1,4.4408920985e-16
with_workers,S9hNv5qa7GM,q_0.950,2,2.22044604925e-16
with_workers,S9hNv5qa7GM,q_0.925,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.925,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.900,1,8.32667268469e-17
with_workers,S9hNv5qa7GM,q_0.900,2,8.32667268469e-17
with_workers,S9hNv5qa7GM,q_0.850,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.850,2,3.33066907388e-16
with_workers,S9hNv5qa7GM,q_0.800,1,1.11022302463e-16
with_workers,S9hNv5qa7GM,q_0.800,2,2.22044604925e-16
with_workers,S9hNv5qa7GM,ospa30_t6,1,1.66533453694e-16
with_workers,S9hNv5qa7GM,ospa30_t6,2,4.4408920985e-16
with_workers,UwV83HsGsw3,q_0.975,1,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.975,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,4,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,8,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.975,16,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,31,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,32,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,47,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.975,55,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.975,59,2.77555756156e-17
with_workers,UwV83HsGsw3,q_0.975,61,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.975,62,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,1,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,4,6.93889390391e-17
with_workers,UwV83HsGsw3,q_0.950,8,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,16,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,31,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.950,32,8.32667268469e-17
with_workers,UwV83HsGsw3,q_0.950,47,2.77555756156e-17
with_workers,UwV83HsGsw3,q_0.950,55,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,59,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.950,61,0
with_workers,UwV83HsGsw3,q_0.950,62,3.46944695195e-17
with_workers,UwV83HsGsw3,q_0.925,1,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.925,2,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.925,4,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.925,8,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.925,16,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.925,31,1.38777878078e-16
with_workers,UwV83HsGsw3,q_0.925,32,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.925,47,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.925,55,4.4289658746e-17
with_workers,UwV83HsGsw3,q_0.925,59,7.6327832943e-17
with_workers,UwV83HsGsw3,q_0.925,61,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.925,62,5.57279916658e-17
with_workers,UwV83HsGsw3,q_0.900,1,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.900,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.900,4,6.93889390391e-17
with_workers,UwV83HsGsw3,q_0.900,8,8.32667268469e-17
with_workers,UwV83HsGsw3,q_0.900,16,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.900,31,8.32667268469e-17
with_workers,UwV83HsGsw3,q_0.900,32,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.900,47,5.55111512313e-17
with_workers,UwV83HsGsw3,q_0.900,55,1.35525271561e-20
with_workers,UwV83HsGsw3,q_0.900,59,1.38777878078e-17
with_workers,UwV83HsGsw3,q_0.900,61,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.900,62,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,1,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,2,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,4,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,8,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.850,16,1.66533453694e-16
with_workers,UwV83HsGsw3,q_0.850,31,5.55111512313e-17
with_workers,UwV83HsGsw3,q_0.850,32,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.850,47,1.66533453694e-16
with_workers,UwV83HsGsw3,q_0.850,55,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,59,8.32667268469e-17
with_workers,UwV83HsGsw3,q_0.850,61,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.850,62,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.800,1,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.800,2,2.22044604925e-16
with_workers,UwV83HsGsw3,q_0.800,4,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.800,8,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.800,16,1.66533453694e-16
with_workers,UwV83HsGsw3,q_0.800,31,8.32667268469e-17
with_workers,UwV83HsGsw3,q_0.800,32,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.800,47,5.55111512313e-17
with_workers,UwV83HsGsw3,q_0.800,55,1.11022302463e-16
with_workers,UwV83HsGsw3,q_0.800,59,1.66533453694e-16
with_workers,UwV83HsGsw3,q_0.800,61,3.33066907388e-16
with_workers,UwV83HsGsw3,q_0.800,62,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,1,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,2,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,4,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,8,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,16,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,31,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,32,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,47,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,55,2.22044604925e-16
with_workers,UwV83HsGsw3,ospa30_t6,59,2.22044604925e-16
with_workers,UwV83HsGsw3,ospa30_t6,61,1.11022302463e-16
with_workers,UwV83HsGsw3,ospa30_t6,62,1.11022302463e-16
with_workers,b8cTxDM8gDG,q_0.975,1,1.11022302463e-16
with_workers,b8cTxDM8gDG,q_0.975,2,4.16333634234e-17
with_workers,b8cTxDM8gDG,q_0.950,1,1.11022302463e-16
with_workers,b8cTxDM8gDG,q_0.950,2,2.22044604925e-16
with_workers,b8cTxDM8gDG,q_0.925,1,1.11022302463e-16
with_workers,b8cTxDM8gDG,q_0.925,2,5.55111512313e-17
with_workers,b8cTxDM8gDG,q_0.900,1,2.22044604925e-16
with_workers,b8cTxDM8gDG,q_0.900,2,2.42861286637e-17
with_workers,b8cTxDM8gDG,q_0.850,1,2.22044604925e-16
with_workers,b8cTxDM8gDG,q_0.850,2,5.55111512313e-17
with_workers,b8cTxDM8gDG,q_0.800,1,1.11022302463e-16
with_workers,b8cTxDM8gDG,q_0.800,2,1.11022302463e-16
with_workers,b8cTxDM8gDG,ospa30_t6,1,2.22044604925e-16
with_workers,b8cTxDM8gDG,ospa30_t6,2,1.38777878078e-16
with_workers,q9vSo1VnCiC,q_0.975,1,6.93889390391e-17
with_workers,q9vSo1VnCiC,q_0.975,2,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.975,4,4.16333634234e-17
with_workers,q9vSo1VnCiC,q_0.975,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.975,15,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.975,16,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.975,23,1.38777878078e-16
with_workers,q9vSo1VnCiC,q_0.975,27,9.969238976e-17
with_workers,q9vSo1VnCiC,q_0.975,29,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.975,30,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.950,1,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.950,2,1.38777878078e-16
with_workers,q9vSo1VnCiC,q_0.950,4,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.950,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.950,15,8.32667268469e-17
with_workers,q9vSo1VnCiC,q_0.950,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.950,23,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.950,27,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.950,29,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.950,30,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.925,1,1.66533453694e-16
with_workers,q9vSo1VnCiC,q_0.925,2,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.925,4,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.925,8,1.66533453694e-16
with_workers,q9vSo1VnCiC,q_0.925,15,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.925,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.925,23,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.925,27,3.33066907388e-16
with_workers,q9vSo1VnCiC,q_0.925,29,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.925,30,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,1,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,2,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,4,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.900,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,15,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,23,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.900,27,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.900,29,1.66533453694e-16
with_workers,q9vSo1VnCiC,q_0.900,30,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.850,1,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,2,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,4,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,15,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,23,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,27,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.850,29,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.850,30,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.800,1,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,2,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,4,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,15,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,q_0.800,23,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.800,27,2.22044604925e-16
with_workers,q9vSo1VnCiC,q_0.800,29,5.55111512313e-17
with_workers,q9vSo1VnCiC,q_0.800,30,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,1,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,2,2.77555756156e-17
with_workers,q9vSo1VnCiC,ospa30_t6,4,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,8,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,15,4.16333634234e-17
with_workers,q9vSo1VnCiC,ospa30_t6,16,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,23,5.55111512313e-17
with_workers,q9vSo1VnCiC,ospa30_t6,27,1.11022302463e-16
with_workers,q9vSo1VnCiC,ospa30_t6,29,8.32667268469e-17
with_workers,q9vSo1VnCiC,ospa30_t6,30,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.975,1,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,2,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.975,4,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,8,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.975,16,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,31,5.29090660173e-17
with_workers,rPc6DW4iMge,q_0.975,32,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,47,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.975,55,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.975,59,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,61,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.975,62,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.950,1,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,2,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,4,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,8,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,16,8.32667268469e-17
with_workers,rPc6DW4iMge,q_0.950,31,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,32,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,47,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.950,55,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,59,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.950,61,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.950,62,6.93889390391e-17
with_workers,rPc6DW4iMge,q_0.925,1,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.925,2,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.925,4,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.925,8,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.925,16,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.925,31,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.925,32,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.925,47,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.925,55,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.925,59,6.93889390391e-17
with_workers,rPc6DW4iMge,q_0.925,61,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.925,62,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.900,1,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.900,2,1.66533453694e-16
with_workers,rPc6DW4iMge,q_0.900,4,8.32667268469e-17
with_workers,rPc6DW4iMge,q_0.900,8,2.77555756156e-17
with_workers,rPc6DW4iMge,q_0.900,16,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.900,31,0
with_workers,rPc6DW4iMge,q_0.900,32,1.66533453694e-16
with_workers,rPc6DW4iMge,q_0.900,47,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.900,55,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.900,59,8.32667268469e-17
with_workers,rPc6DW4iMge,q_0.900,61,1.38777878078e-16
with_workers,rPc6DW4iMge,q_0.900,62,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.850,1,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.850,2,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.850,4,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.850,8,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.850,16,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.850,31,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.850,32,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.850,47,9.88792381307e-17
with_workers,rPc6DW4iMge,q_0.850,55,0
with_workers,rPc6DW4iMge,q_0.850,59,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.850,61,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.850,62,8.32667268469e-17
with_workers,rPc6DW4iMge,q_0.800,1,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.800,2,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.800,4,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.800,8,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.800,16,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.800,31,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.800,32,5.55111512313e-17
with_workers,rPc6DW4iMge,q_0.800,47,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.800,55,1.66533453694e-16
with_workers,rPc6DW4iMge,q_0.800,59,1.11022302463e-16
with_workers,rPc6DW4iMge,q_0.800,61,2.22044604925e-16
with_workers,rPc6DW4iMge,q_0.800,62,9.71445146547e-17
with_workers,rPc6DW4iMge,ospa30_t6,1,2.22044604925e-16
with_workers,rPc6DW4iMge,ospa30_t6,2,2.22044604925e-16
with_workers,rPc6DW4iMge,ospa30_t6,4,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,8,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,16,1.11022302463e-16
with_workers,rPc6DW4iMge,ospa30_t6,31,1.11022302463e-16
