building_id,base_loss,linear_loss,quadratic_loss,layer_loss,semi_loss,cohort,pool,cap,outcome
7y3sRwLe3Va,11.3255588521,11.1351876855,10.3713337478,9.4538621788,6.63789012195,all26,all_initializations,30,edit
B6ByNegPMKs,11.3423945829,11.4192455608,11.0836135215,9.85613010655,8.4112061276,all26,all_initializations,30,edit
UwV83HsGsw3,7.72648090661,8.46771282606,6.45922673141,5.93959938696,5.25987519605,all26,all_initializations,30,edit
X7HyMhZNoso,14.7953233307,15.3748550019,15.2088361964,13.5182000118,11.7484593512,all26,all_initializations,30,edit
Z6MFQCViBuw,6.95688069124,7.74362088172,7.7173491606,4.66689960008,5.03331124645,all26,all_initializations,30,edit
b8cTxDM8gDG,4.84827676326,4.61489022924,4.90897377984,3.70739299157,2.95888665489,all26,all_initializations,30,edit
e9zR4mvMWw7,10.0100617645,9.80124680588,9.53321299993,7.74306448894,6.46430222295,all26,all_initializations,30,edit
q9vSo1VnCiC,18.5445768286,18.3079231284,18.7985888312,12.871689278,11.6460974598,all26,all_initializations,30,edit
rPc6DW4iMge,21.6841537701,20.074404346,18.1941825282,14.6879685838,11.9356619998,all26,all_initializations,30,edit
uNb9QFRL6hY,13.9548491666,14.0252272311,13.9539821773,12.3746899554,9.46529335288,all26,all_initializations,30,edit
wc2JMjhGNzB,12.3089911179,12.2773320527,12.1038743645,10.1053837771,10.0234409584,all26,all_initializations,30,edit
yqstnuAEVhm,22.6067104587,23.5629114801,21.7148343599,17.8388054339,15.2487929115,all26,all_initializations,30,edit
7y3sRwLe3Va,10.6460562607,8.53770530302,8.72591345198,8.99380049493,10.5939559523,all26,all_initializations,30,final_via_edit_labels
B6ByNegPMKs,15.0694795964,12.3440761477,12.3023433099,12.3631970574,10.5218170455,all26,all_initializations,30,final_via_edit_labels
UwV83HsGsw3,7.72648090661,5.69585189109,6.04756023411,4.60016433656,6.51682921066,all26,all_initializations,30,final_via_edit_labels
X7HyMhZNoso,13.0982814106,12.9698660159,13.0557463474,13.5625354114,10.7827512844,all26,all_initializations,30,final_via_edit_labels
Z6MFQCViBuw,5.17675578899,4.55828344765,4.46131419572,3.87683773235,4.39825997726,all26,all_initializations,30,final_via_edit_labels
b8cTxDM8gDG,6.23791818995,7.97438895339,7.95127966586,7.99890392817,7.79245559516,all26,all_initializations,30,final_via_edit_labels
e9zR4mvMWw7,8.18239613683,6.74972102916,6.71754514089,6.57446209495,6.37175676167,all26,all_initializations,30,final_via_edit_labels
q9vSo1VnCiC,19.2163909755,19.4412201287,19.3426741592,20.3579354466,19.5228903181,all26,all_initializations,30,final_via_edit_labels
rPc6DW4iMge,13.3498422129,10.7033194752,10.7209549112,8.7960232775,6.13450787384,all26,all_initializations,30,final_via_edit_labels
uNb9QFRL6hY,13.1800013045,12.8448575351,12.9797619082,12.5759586626,10.6116738395,all26,all_initializations,30,final_via_edit_labels
wc2JMjhGNzB,11.7740615327,11.230734079,11.2204257864,11.0620163966,11.3775072882,all26,all_initializations,30,final_via_edit_labels
yqstnuAEVhm,22.6067104587,20.0158288027,20.5808880514,19.7154340995,17.3853907299,all26,all_initializations,30,final_via_edit_labels
7y3sRwLe3Va,40.281326394,38.9469037965,35.2132525989,31.5093265698,26.4844570983,all26,all_initializations,60,edit
B6ByNegPMKs,36.2731428648,36.1803400933,35.8596260021,31.7367265031,30.1482800455,all26,all_initializations,60,edit
UwV83HsGsw3,32.4954264477,35.6748371305,27.6576460377,29.7696004668,27.3782811896,all26,all_initializations,60,edit
X7HyMhZNoso,44.2290655757,46.6872526749,47.4040322833,39.8668528559,41.9509603282,all26,all_initializations,60,edit
Z6MFQCViBuw,19.1094393237,22.1133489332,21.9096623108,14.7778137918,17.1174640688,all26,all_initializations,60,edit
b8cTxDM8gDG,19.2089683043,18.6698130275,19.5552203343,16.8238964989,16.3255121385,all26,all_initializations,60,edit
e9zR4mvMWw7,34.7013436583,33.3449528798,32.1052326829,27.3975417472,24.143300329,all26,all_initializations,60,edit
q9vSo1VnCiC,65.218274323,64.2630657097,65.3049876628,45.0852685528,43.3666468217,all26,all_initializations,60,edit
rPc6DW4iMge,76.5129038203,69.1828324915,66.6242259272,51.1566189123,46.9581031103,all26,all_initializations,60,edit
uNb9QFRL6hY,45.6191539467,46.0336788773,45.9593292697,43.1013959913,32.7568625083,all26,all_initializations,60,edit
wc2JMjhGNzB,43.3717067225,43.129224617,43.2076445015,39.6303693112,39.1132521365,all26,all_initializations,60,edit
yqstnuAEVhm,84.497492637,89.6476014012,80.4825666283,76.9733725351,66.5676526348,all26,all_initializations,60,edit
7y3sRwLe3Va,38.2085462761,28.6418688447,29.4278839395,30.2889467203,34.2521511893,all26,all_initializations,60,final_via_edit_labels
B6ByNegPMKs,59.1119301695,48.2243689235,47.5436198022,44.7320453713,39.3074232807,all26,all_initializations,60,final_via_edit_labels
UwV83HsGsw3,32.4954264477,25.5997516436,29.0502447786,23.741902208,32.3203047512,all26,all_initializations,60,final_via_edit_labels
X7HyMhZNoso,42.0026403878,42.7536943744,43.0584202742,45.4604473962,37.6660376271,all26,all_initializations,60,final_via_edit_labels
Z6MFQCViBuw,21.0924785246,19.4089893545,18.6094341013,15.6470412656,17.6395094114,all26,all_initializations,60,final_via_edit_labels
b8cTxDM8gDG,23.0587242863,30.0741913337,30.191331968,32.5515191765,34.1738283665,all26,all_initializations,60,final_via_edit_labels
e9zR4mvMWw7,34.026803855,28.9100744254,28.3954872433,26.0080631266,25.7975642944,all26,all_initializations,60,final_via_edit_labels
q9vSo1VnCiC,72.5750999456,71.9188862348,70.3332859311,76.4744722937,73.2807574129,all26,all_initializations,60,final_via_edit_labels
rPc6DW4iMge,56.5020863675,45.9328676278,45.9585723664,30.9154790044,26.846924972,all26,all_initializations,60,final_via_edit_labels
uNb9QFRL6hY,43.7878475726,42.5090888438,43.4760465028,42.6692649391,36.6529781309,all26,all_initializations,60,final_via_edit_labels
wc2JMjhGNzB,46.7079383162,44.796458534,44.6773633602,42.7241882153,45.1152994141,all26,all_initializations,60,final_via_edit_labels
yqstnuAEVhm,84.497492637,73.8776613924,78.2282654536,73.6843374085,73.4759033473,all26,all_initializations,60,final_via_edit_labels
7y3sRwLe3Va,5.94046063665,6.40007863273,5.53195889859,6.72431300459,4.63936176776,all26,without_synthetic,30,edit
B6ByNegPMKs,16.702756595,16.240787846,15.5971254095,12.397510572,11.1861701386,all26,without_synthetic,30,edit
UwV83HsGsw3,7.72648090661,8.86101535382,6.52848358789,6.41878247763,6.00024933813,all26,without_synthetic,30,edit
X7HyMhZNoso,14.7953233307,15.8263510287,15.6697048289,14.1182365579,11.7953991184,all26,without_synthetic,30,edit
Z6MFQCViBuw,0.995762888532,1.14803002839,0.899521839527,0.0987596562099,0.487168159842,all26,without_synthetic,30,edit
b8cTxDM8gDG,4.84827676326,4.57906233758,4.96940719363,3.84529060046,3.35838518125,all26,without_synthetic,30,edit
e9zR4mvMWw7,12.7994642161,12.4816600171,12.0425121447,9.45112402382,9.58024249528,all26,without_synthetic,30,edit
q9vSo1VnCiC,41.4920733179,40.7798992702,43.4495310659,31.3282298164,30.4322552826,all26,without_synthetic,30,edit
rPc6DW4iMge,21.6841537701,19.7559822307,17.895481178,10.9009962615,11.6739969939,all26,without_synthetic,30,edit
