cohort,pool,cap,outcome,rows,images,workers,buildings,linear_vs_zero_gain,quadratic_vs_zero_gain,layer_vs_zero_gain,semi_vs_zero_gain,layer_vs_manual_quadratic_gain,continuous_semi_vs_layer_gain,delta_MSE,conditional_low,conditional_high,buildings_improved
all26,all_initializations,30,edit,574,43,26,12,-0.00448609797202,0.0387961859791,0.21357887874,0.328441012499,0.181837285924,0.146056776266,-2.27369355045,-3.16187323503,-1.51886128942,12
all26,all_initializations,30,final_via_edit_labels,540,40,26,12,0.0902374346878,0.0831232323727,0.10793541394,0.16582697554,0.0270616318832,0.0648961549463,-0.302428185317,-0.766406265218,0.123267463468,7
all26,all_initializations,60,edit,574,43,26,12,-0.00435000600689,0.0373668255912,0.173012564797,0.238602250314,0.140911141244,0.0793115865187,-6.1212202086,-9.78040135984,-3.04712963437,11
all26,all_initializations,60,final_via_edit_labels,540,40,26,12,0.0928030578994,0.081428884703,0.124839244738,0.139943960782,0.047258572921,0.0172593617265,-2.00435404963,-5.03972587645,0.65426654997,8
all26,without_synthetic,30,edit,418,37,26,12,-0.00513398234883,0.0276187784631,0.224943474767,0.295111521777,0.202929357266,0.090532812414,-2.89171619093,-5.01895644108,-1.22776700101,11
all26,without_synthetic,30,final_via_edit_labels,410,35,26,12,0.0425927683342,0.0362365750073,0.0393754014071,0.0936141791343,0.00325684324433,0.0564619912988,-0.0425954252273,-1.0129866215,1.16691268623,7
all26,without_synthetic,60,edit,418,37,26,12,-0.00622649114407,0.0261289257713,0.169458570429,0.223139654595,0.147175173851,0.0646338427618,-7.49524438406,-15.7139702822,-1.61012204913,10
all26,without_synthetic,60,final_via_edit_labels,410,35,26,12,0.0451753991277,0.0377785862963,0.0206273040408,0.0585930479251,-0.0178246732106,0.0387653689356,0.880240289481,-4.02247337527,6.99814201107,7
current20,all_initializations,30,edit,453,43,20,12,0.0768878827795,0.123218508008,0.301455260622,0.342420631465,0.203285258918,0.0586438756662,-2.0299600185,-3.99276825908,-0.282575903873,10
current20,all_initializations,30,final_via_edit_labels,425,40,20,12,0.0412531339156,0.0489514098505,0.0776740610306,0.146824240773,0.0302010343926,0.0749736907756,-0.302063556632,-0.913015935079,0.259153488179,8
current20,all_initializations,60,edit,453,43,20,12,0.0548246447702,0.0928219471443,0.212351287137,0.237510671811,0.131759514703,0.0319423929258,-4.58963763855,-10.6555810002,1.5748028126,9
current20,all_initializations,60,final_via_edit_labels,425,40,20,12,0.0226189989169,0.0262568774579,0.0575064666602,0.0952550557997,0.0320922309784,0.0400518282664,-1.20502315708,-4.48280448124,1.89693433865,8
current20,without_synthetic,30,edit,333,37,20,12,0.0533873712702,0.0937353169746,0.197070745303,0.308015053561,0.114023452821,0.138174450127,-1.30684797798,-3.62826775333,0.471751201124,8
current20,without_synthetic,30,final_via_edit_labels,325,35,20,12,0.0381644213098,0.0599410418875,0.00311566828359,0.0997056966241,-0.0604487336815,0.0968919113958,0.664372060636,-0.218888453012,2.02056513507,6
current20,without_synthetic,60,edit,333,37,20,12,0.0382575550581,0.0725726330425,0.131512341201,0.220573889719,0.063551831937,0.102547857319,-2.60036149491,-9.9136019926,3.87151080073,8
current20,without_synthetic,60,final_via_edit_labels,325,35,20,12,0.0222537182154,0.0377648092043,0.000597514878624,0.0307671169071,-0.0386259977615,0.0301876395923,1.62319175434,-0.0693810194721,3.44641366113,3
