cohort,building,config,design,fold_id,source_n,target_n,budget,images,k_nodes,same_lower,same_upper,outside_lower,outside_upper,old_benefit_lower,old_benefit_upper,shared_target_benefit_lower,shared_target_benefit_upper,target_unknown_width,source_unknown_width,identified_number_pairs,identified_number_error_sum
with_workers,7y3sRwLe3Va,q_0.975,one_source_image,1,1,2,24,3,19,0.361710526316,0.941184210526,0.0847443609023,0.817530075188,-0.856439849624,0.455819548872,-0.704966165414,0.288928571429,0.593815789474,0.0557894736842,0,0
with_workers,7y3sRwLe3Va,q_0.975,one_source_image,2,1,2,24,3,19,0.340263157895,0.931710526316,0.113511278195,0.798518796992,-0.81819924812,0.458255639098,-0.723853383459,0.386695488722,0.489210526316,0.265,0,0
with_workers,7y3sRwLe3Va,q_0.975,leave_one_target,3,2,1,24,3,19,0,0.603289473684,0.00100263157895,0.849781578947,-0.602286842105,0.849781578947,-0.487094736842,0.491134210526,0.922631578947,0.160394736842,0,0
with_workers,7y3sRwLe3Va,q_0.975,one_source_image,4,1,2,24,3,19,0.0214473684211,0.931842105263,0.193203007519,0.726958646617,-0.738639097744,0.705511278195,-0.707522556391,0.705511278195,0.160394736842,0.922631578947,0,0
with_workers,7y3sRwLe3Va,q_0.975,leave_one_target,5,2,1,24,3,19,0.285,0.931710526316,0.121705263158,0.722615789474,-0.810005263158,0.437615789474,-0.731018421053,0.327284210526,0.265,0.489210526316,0,0
with_workers,7y3sRwLe3Va,q_0.975,leave_one_target,6,2,1,24,3,19,0.357763157895,0.941184210526,0.229307894737,0.739218421053,-0.711876315789,0.381455263158,-0.710886842105,0.381455263158,0.0557894736842,0.593815789474,0,0
with_workers,7y3sRwLe3Va,q_0.950,one_source_image,1,1,2,24,3,19,0.486447368421,0.913947368421,0.176883458647,0.693266917293,-0.737063909774,0.206819548872,-0.568473684211,0.0412481203008,0.427368421053,0.0557894736842,0,0
with_workers,7y3sRwLe3Va,q_0.950,one_source_image,2,1,2,24,3,19,0.375131578947,0.785,0.171240601504,0.671233082707,-0.613759398496,0.296101503759,-0.547864661654,0.228533834586,0.382368421053,0.145789473684,0,0
with_workers,7y3sRwLe3Va,q_0.950,leave_one_target,3,2,1,24,3,19,0.000263157894737,0.556315789474,0.0168421052632,0.691021052632,-0.539473684211,0.690757894737,-0.327802631579,0.377771052632,0.708947368421,0.100789473684,0,0
with_workers,7y3sRwLe3Va,q_0.950,one_source_image,4,1,2,24,3,19,0.111315789474,0.802631578947,0.292101503759,0.604379699248,-0.510530075188,0.493063909774,-0.50037593985,0.492454887218,0.100789473684,0.708947368421,0,0
with_workers,7y3sRwLe3Va,q_0.950,leave_one_target,5,2,1,24,3,19,0.337631578947,0.785,0.239926315789,0.594715789474,-0.545073684211,0.257084210526,-0.509889473684,0.216531578947,0.145789473684,0.382368421053,0,0
with_workers,7y3sRwLe3Va,q_0.950,leave_one_target,6,2,1,24,3,19,0.486447368421,0.913947368421,0.303297368421,0.625413157895,-0.61065,0.138965789474,-0.609163157895,0.138842105263,0.0557894736842,0.427368421053,0,0
with_workers,7y3sRwLe3Va,q_0.925,one_source_image,1,1,2,24,3,19,0.477631578947,0.897763157895,0.183364661654,0.695842105263,-0.714398496241,0.218210526316,-0.543796992481,0.0492443609023,0.419078947368,0.0557894736842,0,0
with_workers,7y3sRwLe3Va,q_0.925,one_source_image,2,1,2,24,3,19,0.366710526316,0.752631578947,0.164541353383,0.667969924812,-0.588090225564,0.301259398496,-0.528593984962,0.22577443609,0.382368421053,0.129210526316,0,0
with_workers,7y3sRwLe3Va,q_0.925,leave_one_target,3,2,1,24,3,19,0.000394736842105,0.564210526316,0.0210815789474,0.701963157895,-0.543128947368,0.701568421053,-0.295857894737,0.366471052632,0.708947368421,0.0925,0,0
with_workers,7y3sRwLe3Va,q_0.925,one_source_image,4,1,2,24,3,19,0.111710526316,0.786447368421,0.284432330827,0.593661654135,-0.502015037594,0.48195112782,-0.493578947368,0.48195112782,0.0925,0.708947368421,0,0
with_workers,7y3sRwLe3Va,q_0.925,leave_one_target,5,2,1,24,3,19,0.317894736842,0.752631578947,0.249631578947,0.583289473684,-0.503,0.265394736842,-0.471542105263,0.229273684211,0.129210526316,0.382368421053,0,0
with_workers,7y3sRwLe3Va,q_0.925,leave_one_target,6,2,1,24,3,19,0.477631578947,0.897763157895,0.284260526316,0.594036842105,-0.613502631579,0.116405263158,-0.612121052632,0.115415789474,0.0557894736842,0.419078947368,0,0
with_workers,7y3sRwLe3Va,q_0.900,one_source_image,1,1,2,24,3,19,0.477631578947,0.897763157895,0.185515037594,0.691165413534,-0.712248120301,0.213533834586,-0.535620300752,0.0442255639098,0.419078947368,0.0557894736842,0,0
with_workers,7y3sRwLe3Va,q_0.900,one_source_image,2,1,2,24,3,19,0.366710526316,0.752631578947,0.166857142857,0.663056390977,-0.58577443609,0.296345864662,-0.524319548872,0.221507518797,0.382368421053,0.129210526316,0,0
with_workers,7y3sRwLe3Va,q_0.900,leave_one_target,3,2,1,24,3,19,0.000394736842105,0.564210526316,0.0211289473684,0.692063157895,-0.543081578947,0.691668421053,-0.284934210526,0.356473684211,0.708947368421,0.0925,0,0
with_workers,7y3sRwLe3Va,q_0.900,one_source_image,4,1,2,24,3,19,0.111710526316,0.786447368421,0.290439849624,0.589372180451,-0.496007518797,0.477661654135,-0.486996240602,0.477661654135,0.0925,0.708947368421,0,0
