cohort,metric,splits,rho_median,rho_q25,rho_q75,ARI_median,label_agreement_median
all26,30,120,0.717948717949,0.612649572649,0.76532051282,0.260355029586,0.769230769231
all26,60,120,0.716923076923,0.638119658119,0.793183760684,0.260355029586,0.769230769231
current20,30,120,0.59022556391,0.50939849624,0.673684210526,0.113333333333,0.7
current20,60,120,0.636090225564,0.562030075188,0.744736842106,0.113333333333,0.7
without19_26,30,120,0.665652173913,0.581739130435,0.746304347827,0.215909090909,0.75
without19_26,60,120,0.687391304348,0.612173913043,0.767173913044,0.215909090909,0.75
