assistance_exposure,scored,reference_basis,scope_status,rows,images,workers
model_preannotation,False,gt_assumed_correct,not_adjudicated_for_this_study,8,2,6
model_preannotation,False,reviewed_reference,,26,1,26
model_preannotation,True,gt_assumed_correct,not_adjudicated_for_this_study,224,27,26
model_preannotation,True,reviewed_reference,,134,6,26
model_preannotation,True,reviewed_reference,in_scope,182,7,26
none,False,gt_assumed_correct,not_adjudicated_for_this_study,307,26,26
none,False,reviewed_reference,,92,14,26
none,False,reviewed_reference,in_scope,44,16,26
none,True,gt_assumed_correct,not_adjudicated_for_this_study,664,129,23
none,True,reviewed_reference,,346,18,26
none,True,reviewed_reference,in_scope,474,20,26
