heldout_building,worker_id,reference_effect,operational_coarse
VFuaQ6m2Qom,8,-0.455015637997,A
VLzqgDo317F,1,-0.121265479967,A
VLzqgDo317F,10,0.0647404512451,B
VLzqgDo317F,11,-0.706543609201,A
VLzqgDo317F,12,0.520130065668,B
VLzqgDo317F,13,0.340703620876,B
VLzqgDo317F,15,-1.17996255325,A
VLzqgDo317F,17,-1.23730465329,A
VLzqgDo317F,2,-3.91144638124,A
VLzqgDo317F,28,-0.139065085589,A
VLzqgDo317F,29,1.01629282443,B
VLzqgDo317F,30,0.945758444435,B
VLzqgDo317F,31,0.0253290639064,A
VLzqgDo317F,32,0.378373282796,B
VLzqgDo317F,33,-0.611274892106,A
VLzqgDo317F,34,1.73820718212,B
VLzqgDo317F,35,0.851325280705,B
VLzqgDo317F,36,0.361418794349,B
VLzqgDo317F,37,2.37568638731,B
VLzqgDo317F,6,-0.25159538905,A
VLzqgDo317F,8,-0.459507354151,A
X7HyMhZNoso,1,-0.125383422619,A
X7HyMhZNoso,10,0.0547274484159,B
X7HyMhZNoso,11,-0.796472137991,A
X7HyMhZNoso,12,0.495055827719,B
X7HyMhZNoso,13,0.353561335416,B
X7HyMhZNoso,15,-1.2892462812,A
X7HyMhZNoso,17,-1.24409176425,A
X7HyMhZNoso,2,-3.96882293485,A
X7HyMhZNoso,28,-0.133125770011,A
X7HyMhZNoso,29,1.02742685907,B
X7HyMhZNoso,30,0.962161841261,B
X7HyMhZNoso,31,0.0365269478434,A
X7HyMhZNoso,32,0.384348968294,B
X7HyMhZNoso,33,-0.705827011679,A
X7HyMhZNoso,34,1.9382634656,B
X7HyMhZNoso,35,0.870171916635,B
X7HyMhZNoso,36,0.376485209737,B
X7HyMhZNoso,37,2.45328703622,B
X7HyMhZNoso,6,-0.237723304708,A
X7HyMhZNoso,8,-0.451324228895,A
Z6MFQCViBuw,1,-0.14392601451,A
Z6MFQCViBuw,10,0.0716389068046,B
Z6MFQCViBuw,11,-0.708017940763,A
Z6MFQCViBuw,12,0.53960191822,B
Z6MFQCViBuw,13,0.327822230847,B
Z6MFQCViBuw,15,-1.191097297,A
Z6MFQCViBuw,17,-1.25549471406,A
Z6MFQCViBuw,2,-3.94454849079,A
Z6MFQCViBuw,28,-0.138962849843,A
