k,metric,comparison,images,buildings,difference,conditional_q025,conditional_q975
2,pairwise_OSPA30,A minus B,41,12,-0.6884183585,-1.36366714788,0.0132074073889
2,pairwise_OSPA30,AB_equal minus B,41,12,0.0575602634415,-0.546647977359,0.814318101789
2,pairwise_OSPA30,A minus AB_equal,41,12,-0.745978621942,-1.06406244027,-0.432558288354
4,pairwise_OSPA30,A minus B,41,12,-0.637849394959,-1.27850120136,0.0538838387582
4,pairwise_OSPA30,AB_equal minus B,41,12,-0.0882678804367,-0.577897264619,0.510114551246
4,pairwise_OSPA30,A minus AB_equal,41,12,-0.549581514522,-0.856573146216,-0.244021328461
6,pairwise_OSPA30,A minus B,41,12,-0.645035902386,-1.3066781087,0.0395651482805
6,pairwise_OSPA30,AB_equal minus B,41,12,-0.133338124613,-0.59124267368,0.423507464224
6,pairwise_OSPA30,A minus AB_equal,41,12,-0.511697777773,-0.786212362308,-0.191635116378
2,medoid_reference_OSPA30,A minus B,41,12,-1.41764008917,-2.04247053132,-0.834351547315
2,medoid_reference_OSPA30,AB_equal minus B,41,12,-0.678524249563,-0.965429288566,-0.395400001039
2,medoid_reference_OSPA30,A minus AB_equal,41,12,-0.739115839608,-1.0654030034,-0.442847959093
4,medoid_reference_OSPA30,A minus B,41,12,-1.19310979663,-2.06926404998,-0.426477331966
4,medoid_reference_OSPA30,AB_equal minus B,41,12,-0.43254948042,-0.739059169949,-0.0777813501679
4,medoid_reference_OSPA30,A minus AB_equal,41,12,-0.760560316213,-1.39667657746,-0.280151727395
6,medoid_reference_OSPA30,A minus B,41,12,-1.12423554195,-2.0118385981,-0.327144957276
6,medoid_reference_OSPA30,AB_equal minus B,41,12,-0.424002027428,-0.746520957768,-0.067936870296
6,medoid_reference_OSPA30,A minus AB_equal,41,12,-0.70023351452,-1.34998391904,-0.209822089638
