canonical_annotation_id,worker_id,image_id,building_id,context_key,source_group,edit_ospa30,initial_ospa30,final_ospa30,edit_ospa60,initial_ospa60,final_ospa60,final_point_count,initial_point_count
babc4e1b7d60b5ce,1,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,12.0725239608,11.0545257329,2.58415390719,22.0725239608,21.0545257329,2.58415390719,8,12
1106d9b3309125ae,10,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10,11.0545257329,1.58178859929,20,21.0545257329,1.58178859929,8,12
b11846422ee8df2c,11,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,0,11.0545257329,11.0545257329,0,21.0545257329,21.0545257329,12,12
38972f7a8ac6e59e,12,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,11.9976414659,11.0545257329,2.67967001824,21.9976414659,21.0545257329,2.67967001824,8,12
e13f31dcfeca786f,13,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10,11.0545257329,1.58178859929,20,21.0545257329,1.58178859929,8,12
c98ff21fd3ac34dc,14,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10.7801853596,11.0545257329,1.04134727233,20.7801853596,21.0545257329,1.04134727233,8,12
ed7c1f77254fbb2a,15,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10.7157731868,11.0545257329,0.658098390975,20.7157731868,21.0545257329,0.658098390975,8,12
f9d6980bfc9259bd,17,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10.8604289871,11.0545257329,0.933610103746,20.8604289871,21.0545257329,0.933610103746,8,12
dee69b2b7ab15827,18,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10,11.0545257329,1.58178859929,20,21.0545257329,1.58178859929,8,12
708d8e2dff95ff2d,19,7y3sRwLe3Va_92fb09a83f8949619b9dc5bda2855456,7y3sRwLe3Va,init:p1:509c41111a2f853c44ed,trap_synthetic_disjoint_source,10.7157731868,11.0545257329,6.52647871278,20.7157731868,21.0545257329,12.5264787128,10,12
