metric,cohort,replicate,common_workers,rank_rho,coarse_ARI,label_agreement,split_A
60,all26,49,25,0.827692307692,0.238782051282,0.76,2t7WUuJeko7;S9hNv5qa7GM;Z6MFQCViBuw;jh4fc5c5qoQ;pRbA3pwrgk9;pa4otMbVnkk;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,50,26,0.506324786325,0.112426035503,0.692307692308,2t7WUuJeko7;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;Z6MFQCViBuw;e9zR4mvMWw7;jh4fc5c5qoQ;pa4otMbVnkk;uNb9QFRL6hY;x8F5xyUWy9e;yqstnuAEVhm
60,all26,51,26,0.766153846154,0.260355029586,0.769230769231,2t7WUuJeko7;7y3sRwLe3Va;S9hNv5qa7GM;VFuaQ6m2Qom;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;zsNo4HB9uLZ
60,all26,52,26,0.654700854701,0.260355029586,0.769230769231,UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;e9zR4mvMWw7;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;uNb9QFRL6hY;wc2JMjhGNzB;zsNo4HB9uLZ
60,all26,53,26,0.848888888889,0.457593688363,0.846153846154,7y3sRwLe3Va;UwV83HsGsw3;VFuaQ6m2Qom;VLzqgDo317F;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pa4otMbVnkk;q9vSo1VnCiC;rPc6DW4iMge;yqstnuAEVhm
60,all26,54,26,0.905641025641,0.457593688363,0.846153846154,2t7WUuJeko7;UwV83HsGsw3;VLzqgDo317F;Z6MFQCViBuw;e9zR4mvMWw7;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;wc2JMjhGNzB;yqstnuAEVhm
60,all26,55,26,0.669743589744,0.260355029586,0.769230769231,2t7WUuJeko7;S9hNv5qa7GM;UwV83HsGsw3;VFuaQ6m2Qom;X7HyMhZNoso;jh4fc5c5qoQ;jtcxE69GiFV;q9vSo1VnCiC;rPc6DW4iMge;wc2JMjhGNzB;yqstnuAEVhm
60,all26,56,26,0.715555555556,0.260355029586,0.769230769231,B6ByNegPMKs;S9hNv5qa7GM;VLzqgDo317F;X7HyMhZNoso;Z6MFQCViBuw;e9zR4mvMWw7;jh4fc5c5qoQ;pRbA3pwrgk9;wc2JMjhGNzB;x8F5xyUWy9e;yqstnuAEVhm
60,all26,57,25,0.908461538462,0.238782051282,0.76,2t7WUuJeko7;UwV83HsGsw3;VFuaQ6m2Qom;e9zR4mvMWw7;jh4fc5c5qoQ;jtcxE69GiFV;pRbA3pwrgk9;pa4otMbVnkk;q9vSo1VnCiC;wc2JMjhGNzB;zsNo4HB9uLZ
60,all26,58,26,0.682735042735,0.260355029586,0.769230769231,S9hNv5qa7GM;UwV83HsGsw3;Z6MFQCViBuw;b8cTxDM8gDG;e9zR4mvMWw7;jh4fc5c5qoQ;pRbA3pwrgk9;q9vSo1VnCiC;rPc6DW4iMge;uNb9QFRL6hY;wc2JMjhGNzB
