building_id,base_loss,continuous_loss,coarse_loss,cohort,reference_set,cap
2t7WUuJeko7,0.158526826749,0.385810741082,1.2374782973,all26,all_accepted_references,30
7y3sRwLe3Va,8.78847724068,7.28593520701,8.86187245496,all26,all_accepted_references,30
B6ByNegPMKs,12.3078652749,15.654978225,12.8236590553,all26,all_accepted_references,30
S9hNv5qa7GM,7.97584441962,8.76063013171,8.65663474308,all26,all_accepted_references,30
UwV83HsGsw3,19.2263008382,15.669179065,15.728673415,all26,all_accepted_references,30
VFuaQ6m2Qom,21.5389722619,20.1811916631,21.4324706602,all26,all_accepted_references,30
VLzqgDo317F,1.47213579775e-06,0.542615300077,2.45171399873,all26,all_accepted_references,30
X7HyMhZNoso,7.8354011135,9.31718434788,11.5410839137,all26,all_accepted_references,30
Z6MFQCViBuw,0.52997949333,0.999920849195,1.93115670936,all26,all_accepted_references,30
b8cTxDM8gDG,5.46191303472,6.45955908481,9.22491449826,all26,all_accepted_references,30
e9zR4mvMWw7,12.3007708321,8.5849717339,10.2826226371,all26,all_accepted_references,30
jh4fc5c5qoQ,7.29051306985,4.51673640343,3.38473849825,all26,all_accepted_references,30
jtcxE69GiFV,13.360319145,14.7768140724,11.6990337841,all26,all_accepted_references,30
pRbA3pwrgk9,0.697679527262,1.10262939562,2.11631895116,all26,all_accepted_references,30
pa4otMbVnkk,22.2744156624,20.0153957006,26.9578926259,all26,all_accepted_references,30
q9vSo1VnCiC,15.7176837949,10.8223860835,14.0148020853,all26,all_accepted_references,30
rPc6DW4iMge,16.7623135563,12.759503599,15.1698420838,all26,all_accepted_references,30
uNb9QFRL6hY,18.5312870858,14.0745825774,17.3758017489,all26,all_accepted_references,30
wc2JMjhGNzB,13.0762404509,12.1377541795,14.0256850078,all26,all_accepted_references,30
x8F5xyUWy9e,11.6524862387,6.329667658,12.9327838402,all26,all_accepted_references,30
yqstnuAEVhm,20.879910267,15.5034425581,19.8391438005,all26,all_accepted_references,30
