stage,condition,responses,images,contexts,workers,buildings
C1,manual,674,87,87,23,13
C1,semi,106,25,25,23,9
C2-A-RP,manual,80,42,55,20,8
C2-B,manual,160,46,46,20,8
P1,manual,779,30,30,26,12
P1,oos,234,9,9,26,6
P1,semi,468,18,18,26,10
