dataset_group,project_version,task_id,title,image_url,condition,annotator_id,active_time,iou,iou_manual,iou_corner,rmse_px,layout_2d_iou,layout_3d_iou,layout_depth_rmse,layout_delta1,layout_used,layout_gate_reason,reliability_used,reliability_gate_reason,pointwise_rmse_px,pointwise_rmse_used,pointwise_best_shift,pointwise_gate_reason,boundary_mse,boundary_rmse_px,pred_n_points,pred_n_pairs,pred_pair_coverage,pred_odd_points,ann_n_points,ann_n_pairs,ann_pair_coverage,ann_odd_points,pairing_warning,pairing_failure_reason,boundary_method_used,consensus_uid,iou_to_consensus,consensus_uid_loo,iou_to_consensus_loo,iou_to_others_median,quality,scope,difficulty,model_issue,tool_issue,scope_missing,is_oos,is_occlusion,is_fail,is_residual,is_normal,n_corners,has_manual_poly,task_scope_n_total,task_scope_n_in_scope,task_scope_n_oos,task_scope_n_unknown,task_scope_oos_rate,task_scope_unknown_rate,task_scope_majority,task_scope_is_mixed,task_scope_has_unknown,analysis_role
Manual_Test,v1.0,502,uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/uNb9QFRL6hY_dcb326d4bb9b4a5f8d7e565ec32bce8e.png,semi,4,16.613,0.8453549668037589,,0.8453549668037589,39.56395325680181,0.6993461187144867,0.6908700948793294,0.21554651856422424,0.9270496368408203,True,,True,,39.562629591019984,True,0,,622.5613403320312,24.951179137107555,8,4,1.0,False,8,4,1.0,False,False,,connect,1,0.8453549742698669,1,0.8453549742698669,0.8453549742698669,normal,normal,,,,False,False,False,False,False,True,8,False,4,4,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,semi,1,13.113,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,3,0.9719617962837219,2,0.9681299924850464,0.9700459241867065,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,semi,3,284.11,0.9719617698347047,1.0,0.9719617698347047,10.991642558359828,0.8878816357283136,0.8800488810738011,0.17008452117443085,0.9964866638183594,True,,True,,10.99163847354014,True,0,,138.91162109375,11.786077426088376,8,4,1.0,False,8,4,1.0,False,False,,connect,3,1.0,1,0.9719617962837219,0.9767166376113892,corner_drift;normal;occlusion;residual,normal,occlusion;residual,corner_drift,,False,False,True,False,True,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,503,7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/7y3sRwLe3Va_112edb40f34e470da3a5b04599e71211.png,semi,2,55.538,0.9681299724752365,1.0,0.9681299724752365,4.263727178431643,0.9844528817901254,0.9708218630858416,0.07365427166223526,1.0,True,,True,,4.251446197388262,True,0,,55.213287353515625,7.430564403429636,8,4,1.0,False,8,4,1.0,False,False,,connect,3,0.9814715385437012,1,0.9681299924850464,0.9748007655143738,corner_drift;low_texture;normal;occlusion,normal,occlusion;low_texture,corner_drift,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,semi,1,16.695,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,2,1.0,1.0,normal,normal,,,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,semi,3,19.308,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,True,,True,,0.0,True,0,,0.0,0.0,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,corner_drift;normal,normal,,corner_drift,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,504,q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/q9vSo1VnCiC_9ba6cd412cb04c5c9beb15ef9e6d22c5.png,semi,2,35.176,1.0,1.0,1.0,6.1402956464183545,0.9078190412925427,0.8889253702979699,0.12004012614488602,1.0,True,,True,,6.137002823031968,True,0,,17.627784729003906,4.198545549235343,8,4,1.0,False,8,4,1.0,False,False,,connect,1,1.0,1,1.0,1.0,corner_drift;normal,normal,,corner_drift,,False,False,False,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,semi,1,39.625,0.9659162250946675,1.0,0.9659162250946675,8.696719496794627,0.9964598587786955,0.9914278949606881,0.01895173266530037,1.0,True,,True,,8.688255222344344,True,0,,0.7136412262916565,0.8447728844438939,12,6,1.0,False,12,6,1.0,False,False,,connect,2,0.9026068449020386,2,0.9026068449020386,0.8616778254508972,normal,normal,,,,False,False,False,False,False,True,12,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,semi,3,216.681,0.8329934895081764,1.0,0.8329934895081764,15.0298270475252,0.9095045996757739,0.771461778681359,0.44778892397880554,0.650787353515625,True,,True,,,False,,n_pairs_mismatch,573.2993774414062,23.943670926602007,12,6,1.0,False,8,4,1.0,False,False,,connect,2,0.8215146660804749,1,0.8207488059997559,0.821131706237793,corner_duplicate;corner_mismatch;low_texture;normal;occlusion,normal,occlusion;low_texture,corner_duplicate;corner_mismatch,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
Manual_Test,v1.0,505,B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,http://106.53.106.49:8000/data/mp3d_layout/test/img/B6ByNegPMKs_48ee619d38b142f88914e7e2582bc1d8.png,semi,2,32.094,0.8718425685583179,1.0,0.8718425685583179,0.0,0.9762340875216018,0.9761045283499032,0.05305326357483864,1.0,True,,True,,,False,,n_pairs_mismatch,9.022493362426758,3.003746554292948,12,6,1.0,False,8,4,1.0,False,False,,connect,2,1.0,1,0.9026068449020386,0.8620607852935791,corner_drift;corner_duplicate;normal;occlusion,normal,occlusion,corner_drift;corner_duplicate,,False,False,True,False,False,True,8,True,3,3,0,0,0.0,0.0,in_scope,False,False,performance
