annotator_id,n_tasks,ru_median_iou,ru_ci_level,ru_ci_low,ru_ci_high,ru_mean_iou,bootstrap_iters
1,11,1.0,0.95,0.8711822032928467,1.0,0.9354413097554987,1000
2,11,1.0,0.95,0.9026068449020386,1.0,0.948611546646465,1000
3,11,1.0,0.95,0.8381608724594116,1.0,0.9401822198521007,1000
4,5,0.8453549742698669,0.95,0.8105500936508179,1.0,0.8818690299987793,1000
