analysis_role,block3_generated,formal_policy_frozen,formal_profile_frozen,reference_status,rows,scientific_conclusion_prohibited,stage
diagnostic_pre_stage3,False,False,False,reference_ready_public_gt,748,True,C1
diagnostic_pre_stage3,False,False,False,missing,5,True,C2A_RP
diagnostic_pre_stage3,False,False,False,use_existing_public_gt_as_is,75,True,C2A_RP
diagnostic_pre_stage3,False,False,False,missing,2,True,C2B
diagnostic_pre_stage3,False,False,False,reference_unavailable,4,True,C2B
diagnostic_pre_stage3,False,False,False,use_existing_public_gt_as_is,154,True,C2B
diagnostic_pre_stage3,False,False,False,missing,1481,True,P1
