active_time,active_time_eligible,active_time_join_status,active_time_source,active_time_version,analysis_role,annotation_id,assignment_provenance,base_task_id,block3_generated,building_id,canonical_status,canonical_submission_id,channel_analysis_role,condition,d_cal_A,d_model_feat,d_model_feat_local,d_model_feat_local_max,dataset_source_pool,delivery_adjusted_quality,design_stratum,exclusion_reason,failure_attribution,feature_manifest_sha256,feature_missingness,feature_timing,formal_assignment_eligible,formal_first_route_eligible,formal_policy_frozen,formal_profile_frozen,g_duplicate_peak,g_model_struct,g_postprocess_invalid,g_seam_instability,g_topology_invalid,gt_analysis_eligible,iou_to_reference,loo_peer_compatibility,low_quality,low_texture,missing,model_issue,not_evaluable,occlusion,outside,peer_analysis_eligible,peer_compatibility,pre_task_available_before_assignment,pre_task_feature_provenance,pre_task_feature_timing,pre_task_uses_gt,predictive_analysis_eligible,reference_crosswalk_join_status,reference_status,reference_version,reflection,risk,risk_contract_sha256,risk_design_score_A,risk_design_vector_A,risk_evidence_eligible,risk_score_recompute_status,risk_score_recomputed,routing_feature_eligible,runtime_task_id,scientific_conclusion_prohibited,scope,seam,stage,structural_analysis_eligible,structurally_valid,substage_block,task_risk_sha256,task_stratum,trivial,worker_attributable_structural_failure,worker_id
119.0,True,,log,active_times_2026-06-30.jsonl,diagnostic_pre_stage3,4813,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,738a28459a248984,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,True,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,False,,1
79.0,True,,log,active_times_2026-05-21.jsonl,diagnostic_pre_stage3,3190,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,8857a2ec2d3444ba,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,True,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,False,,10
115.0,True,,log,active_times_2026-05-31.jsonl,diagnostic_pre_stage3,3541,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,538db2a79188e4ef,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,False,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,True,P1,False,,PreScreen,,,False,,11
37.24,False,,lead_time_fallback,,diagnostic_pre_stage3,3453,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,13f3eff18a52453b,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,False,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,True,,,,,False,,,False,3053,True,normal,True,P1,False,,PreScreen,,,False,,12
132.0,True,,log,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,diagnostic_pre_stage3,3358,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,ae0b6b00e971f182,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,True,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,False,,13
23.209,False,,lead_time_fallback,,diagnostic_pre_stage3,3528,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,8fceb8fe7a91b34c,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,False,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,True,,14
992.0,True,,log,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,diagnostic_pre_stage3,3221,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,d0af5ad0523f8433,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,False,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,True,,15
1109.0,True,,log,active_times_2026-05-19.jsonl,diagnostic_pre_stage3,3133,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,07e393557408ab30,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,False,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,True,,,,,False,,,False,3053,True,normal,True,P1,False,,PreScreen,,,False,,17
183.0,True,,log,active_times_2026-05-25.jsonl;active_times_2026-06-28.jsonl,diagnostic_pre_stage3,4697,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,d7d3126eb509dcae,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,True,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,False,,,,,False,,,False,3053,True,normal,True,P1,False,,PreScreen,,,False,,18
22.0,True,,log,active_times_2026-06-27.jsonl,diagnostic_pre_stage3,4614,,UwV83HsGsw3_8e9c912f525744eeaea21083a20a1596,False,,True,ee2e59495db1c2bf,,manual,,,,,PreScreen_manual,,,,,,,post_task,False,False,False,False,,,,,,False,,,False,False,False,,False,True,False,False,,True,frozen_task_risk_or_missing,pre_task,False,False,,,,True,,,,,False,,,False,3053,True,normal,False,P1,False,,PreScreen,,,False,,19
