analysis_role,block3_generated,boundary,condition_number,convergence,design_columns,fold,formal_policy_frozen,formal_profile_frozen,formula,mae,mae_change_vs_P0,mae_change_vs_P1,mixed_model_status,model_name,model_rank,model_variant,n_test,n_train,new_building_categories,new_stage_categories,new_worker_categories,optimizer,prediction_interval_coverage,prediction_unseen_worker_fallback_rows,random_effect_eigenvalues_json,risk_channel_correlation_train,rmse,rmse_change_vs_P0,rmse_change_vs_P1,scientific_conclusion_prohibited,singular,spearman,status,test_buildings,test_tasks,test_workers,train_buildings,train_tasks,train_workers,transform_json,validation_kind,warnings
exploratory_diagnostic_pre_stage3,False,False,20.866185828270066,True,20,2t7WUuJeko7,False,False,quality ~ C(worker_id),0.11586756620325578,0.0,0.04324086507863935,,P0,20,core,7,218,1,0,0,ols,1.0,0,,,0.1203744290923406,0.0,0.04319059702813066,True,False,0.33040039419645867,estimated,1,3,4,8,64,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,20.90970524781513,True,21,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z,0.07262670112461643,-0.04324086507863935,0.0,,P1,21,core,7,218,1,0,0,ols,1.0,0,,,0.07718383206420994,-0.04319059702813066,0.0,True,False,0.21428571428571433,estimated,1,3,4,8,64,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,1.0,False,2,2t7WUuJeko7,False,False,quality ~ risk_z,0.06426956413650432,-0.051598002066751456,-0.008357136988112107,estimated,P2,2,core,7,218,1,0,0,lbfgs,1.0,0,"[3.110977259530864e-05, 0.00026902360453551053]",,0.0650250965588007,-0.055349332533539894,-0.012158735505409232,True,False,0.03571428571428572,estimated,1,3,4,8,64,20,"{""channel_residualization"": {}, ""fields"": {""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,"Maximum Likelihood optimization failed to converge. Check mle_retvals;MixedLM optimization failed, trying a different optimizer may help.;Gradient optimization failed, |grad| = 17.679918;The MLE may be on the boundary of the parameter space.;The Hessian matrix at the estimated parameter values is not positive definite."
exploratory_diagnostic_pre_stage3,False,False,48.47721553191637,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_z + C(worker_id):d_model_feat_z,0.05581173773023058,-0.0600558284730252,-0.016814963394385853,,P3_d_model_feat,41,raw_channel_exploratory,7,218,1,0,0,ols,1.0,0,,0.944193690322426,0.06745878270922344,-0.05291564638311716,-0.009725049354986498,True,False,0.10714285714285716,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.43387322195809114, ""residual_mean"": -8.311394386184659e-16, ""residual_scale"": 0.315328370043363, ""risk_slope"": 0.516047556625932}, ""fields"": {""d_model_feat"": {""mean"": 2.3955791210120965, ""scale"": 0.9573078691765605}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,22.492545734167503,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_resid_z + C(worker_id):d_model_feat_resid_z,0.05486700951370619,-0.06100055668954959,-0.01775969161091024,,P3_d_model_feat_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,7,218,1,0,0,ols,1.0,0,,0.944193690322426,0.06206951898055188,-0.05830491011178872,-0.015114313083658057,True,False,0.0,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_model_feat"", ""fit_source"": ""train_fold_only"", ""intercept"": -0.43387322195809114, ""residual_mean"": -8.311394386184659e-16, ""residual_scale"": 0.315328370043363, ""risk_slope"": 0.516047556625932}, ""fields"": {""d_model_feat"": {""mean"": 2.3955791210120965, ""scale"": 0.9573078691765605}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,42.65492552853892,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_local_max_z + C(worker_id):d_model_feat_local_max_z,0.04090512498194979,-0.07496244122130599,-0.03172157614266664,,P3_d_model_feat_local_max,41,raw_channel_exploratory,7,218,1,0,0,ols,1.0,0,,0.9578533575698915,0.046349586563587446,-0.07402484252875316,-0.03083424550062249,True,False,0.3214285714285715,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_model_feat_local_max"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.9923760242766604, ""residual_mean"": 2.8926911834270133e-16, ""residual_scale"": 0.316597320989397, ""risk_slope"": 0.6027145744074557}, ""fields"": {""d_model_feat_local_max"": {""mean"": 4.2970175109054125, ""scale"": 1.1021372074349916}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,23.6508551218862,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_model_feat_local_max_resid_z + C(worker_id):d_model_feat_local_max_resid_z,0.03574163348074858,-0.0801259327225072,-0.03688506764386785,,P3_d_model_feat_local_max_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,7,218,1,0,0,ols,1.0,0,,0.9578533575698915,0.039989979771162656,-0.08038444932117794,-0.03719385229304728,True,False,-0.07142857142857144,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_model_feat_local_max"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.9923760242766604, ""residual_mean"": 2.8926911834270133e-16, ""residual_scale"": 0.316597320989397, ""risk_slope"": 0.6027145744074557}, ""fields"": {""d_model_feat_local_max"": {""mean"": 4.2970175109054125, ""scale"": 1.1021372074349916}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,32.63923468673151,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + g_model_struct_z + C(worker_id):g_model_struct_z,0.0723991653750314,-0.04346840082822438,-0.00022753574958503386,,P3_g_model_struct,41,raw_channel_exploratory,7,218,1,0,0,ols,1.0,0,,0.3366615372588112,0.07779298521425743,-0.04258144387808317,0.0006091531500474895,True,False,-0.03571428571428572,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""g_model_struct"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.7414929781049155, ""residual_mean"": 3.320483541539459e-16, ""residual_scale"": 0.8681433506179764, ""risk_slope"": 0.17720812607160882}, ""fields"": {""g_model_struct"": {""mean"": 1.713112630341971, ""scale"": 0.9219622254676212}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,29.298935849204486,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + g_model_struct_resid_z + C(worker_id):g_model_struct_resid_z,0.07562156888103747,-0.04024599732221831,0.002994867756421035,,P3_g_model_struct_residualized_sensitivity,41,train_only_residualized_channel_sensitivity,7,218,1,0,0,ols,1.0,0,,0.3366615372588112,0.07997651933526785,-0.04039790975707275,0.0027926872710579143,True,False,-0.03571428571428572,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""g_model_struct"", ""fit_source"": ""train_fold_only"", ""intercept"": 0.7414929781049155, ""residual_mean"": 3.320483541539459e-16, ""residual_scale"": 0.8681433506179764, ""risk_slope"": 0.17720812607160882}, ""fields"": {""g_model_struct"": {""mean"": 1.713112630341971, ""scale"": 0.9219622254676212}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
exploratory_diagnostic_pre_stage3,False,False,74.23540458104165,True,41,2t7WUuJeko7,False,False,quality ~ C(worker_id) + risk_z + d_cal_A_z + C(worker_id):d_cal_A_z,0.0966999896935776,-0.01916757650967818,0.024073288568961168,,P3_d_cal_A,41,raw_channel_exploratory,7,218,1,0,0,ols,1.0,0,,0.923154782041713,0.10502559672237735,-0.015348832369963247,0.027841764658167414,True,False,0.39285714285714296,estimated,1,3,4,8,64,20,"{""channel_residualization"": {""channel"": ""d_cal_A"", ""fit_source"": ""train_fold_only"", ""intercept"": -2.2033083979318824, ""residual_mean"": -6.111319401606367e-18, ""residual_scale"": 0.46022660538847554, ""risk_slope"": 0.6309685393166642}, ""fields"": {""d_cal_A"": {""mean"": 1.25624758482054, ""scale"": 1.1971709733848432}, ""risk"": {""mean"": 5.48292944446819, ""scale"": 1.7515518447221605}}, ""scaling_source"": ""train_fold_only""}",leave_one_building_out,
