analysis_role,analysis_subrole,block3_generated,formal_policy_frozen,formal_profile_frozen,prevalence,routing_role,rows,scientific_conclusion_prohibited,selected_n,stage,tag_family,tag_value
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,65,True,65,C1,scope,oos_open_boundary
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,14,True,14,C1,scope,oos_split_level
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.075,not_eligible_for_first_route,80,True,6,C2A_RP,difficulty,low_quality
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.1,not_eligible_for_first_route,80,True,8,C2A_RP,difficulty,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.6875,not_eligible_for_first_route,80,True,55,C2A_RP,difficulty,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.025,not_eligible_for_first_route,80,True,2,C2A_RP,difficulty,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.075,not_eligible_for_first_route,80,True,6,C2A_RP,difficulty,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.275,not_eligible_for_first_route,80,True,22,C2A_RP,difficulty,trivial
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,66,True,66,C2A_RP,scope,normal
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,3,True,3,C2A_RP,scope,oos_geometry
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,3,True,3,C2A_RP,scope,oos_insufficient
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,8,True,8,C2A_RP,scope,oos_open_boundary
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.075,not_eligible_for_first_route,160,True,12,C2B,difficulty,low_quality
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.0875,not_eligible_for_first_route,160,True,14,C2B,difficulty,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.6875,not_eligible_for_first_route,160,True,110,C2B,difficulty,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.1,not_eligible_for_first_route,160,True,16,C2B,difficulty,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.075,not_eligible_for_first_route,160,True,12,C2B,difficulty,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.26875,not_eligible_for_first_route,160,True,43,C2B,difficulty,trivial
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,122,True,122,C2B,scope,normal
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,9,True,9,C2B,scope,oos_geometry
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,1,True,1,C2B,scope,oos_insufficient
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,24,True,24,C2B,scope,oos_open_boundary
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,4,True,4,C2B,scope,oos_split_level
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.053342336259284265,not_eligible_for_first_route,1481,True,79,P1,difficulty,low_quality
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.0688723835246455,not_eligible_for_first_route,1481,True,102,P1,difficulty,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.42133693450371373,not_eligible_for_first_route,1481,True,624,P1,difficulty,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.1336934503713707,not_eligible_for_first_route,1481,True,198,P1,difficulty,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.1087103308575287,not_eligible_for_first_route,1481,True,161,P1,difficulty,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,0.4267386900742741,not_eligible_for_first_route,1481,True,632,P1,difficulty,trivial
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,221,True,221,P1,model_issue,acceptable
diagnostic_pre_stage3,descriptive_measurement_audit,False,False,False,1.0,not_eligible_for_first_route,93,True,93,P1,model_issue,corner_drift
