analysis_role,analysis_subrole,block3_generated,count,formal_policy_frozen,formal_profile_frozen,routing_role,scientific_conclusion_prohibited,stage,tag_left,tag_right
diagnostic_pre_stage3,descriptive_measurement_audit,False,3,False,False,not_eligible_for_first_route,True,C1,low_quality,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,22,False,False,not_eligible_for_first_route,True,C1,low_quality,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,4,False,False,not_eligible_for_first_route,True,C1,low_quality,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,3,False,False,not_eligible_for_first_route,True,C1,low_quality,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,61,False,False,not_eligible_for_first_route,True,C1,low_texture,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,22,False,False,not_eligible_for_first_route,True,C1,low_texture,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,21,False,False,not_eligible_for_first_route,True,C1,low_texture,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,79,False,False,not_eligible_for_first_route,True,C1,occlusion,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,62,False,False,not_eligible_for_first_route,True,C1,occlusion,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,24,False,False,not_eligible_for_first_route,True,C1,reflection,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,1,False,False,not_eligible_for_first_route,True,C2A_RP,low_quality,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,5,False,False,not_eligible_for_first_route,True,C2A_RP,low_quality,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,6,False,False,not_eligible_for_first_route,True,C2A_RP,low_texture,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,2,False,False,not_eligible_for_first_route,True,C2A_RP,occlusion,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,6,False,False,not_eligible_for_first_route,True,C2A_RP,occlusion,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,12,False,False,not_eligible_for_first_route,True,C2B,low_quality,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,3,False,False,not_eligible_for_first_route,True,C2B,low_quality,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,2,False,False,not_eligible_for_first_route,True,C2B,low_quality,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,11,False,False,not_eligible_for_first_route,True,C2B,low_texture,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,2,False,False,not_eligible_for_first_route,True,C2B,low_texture,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,1,False,False,not_eligible_for_first_route,True,C2B,low_texture,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,14,False,False,not_eligible_for_first_route,True,C2B,occlusion,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,9,False,False,not_eligible_for_first_route,True,C2B,occlusion,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,1,False,False,not_eligible_for_first_route,True,C2B,reflection,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,11,False,False,not_eligible_for_first_route,True,P1,low_quality,low_texture
diagnostic_pre_stage3,descriptive_measurement_audit,False,28,False,False,not_eligible_for_first_route,True,P1,low_quality,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,10,False,False,not_eligible_for_first_route,True,P1,low_quality,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,6,False,False,not_eligible_for_first_route,True,P1,low_quality,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,56,False,False,not_eligible_for_first_route,True,P1,low_texture,occlusion
diagnostic_pre_stage3,descriptive_measurement_audit,False,10,False,False,not_eligible_for_first_route,True,P1,low_texture,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,10,False,False,not_eligible_for_first_route,True,P1,low_texture,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,1,False,False,not_eligible_for_first_route,True,P1,low_texture,trivial
diagnostic_pre_stage3,descriptive_measurement_audit,False,114,False,False,not_eligible_for_first_route,True,P1,occlusion,reflection
diagnostic_pre_stage3,descriptive_measurement_audit,False,69,False,False,not_eligible_for_first_route,True,P1,occlusion,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,2,False,False,not_eligible_for_first_route,True,P1,occlusion,trivial
diagnostic_pre_stage3,descriptive_measurement_audit,False,34,False,False,not_eligible_for_first_route,True,P1,reflection,seam
diagnostic_pre_stage3,descriptive_measurement_audit,False,1,False,False,not_eligible_for_first_route,True,P1,seam,trivial
