analysis_role,block3_generated,formal_policy_frozen,formal_profile_frozen,reason,risk_max,risk_min,rows,scientific_conclusion_prohibited,status,stratum
exploratory_diagnostic_pre_stage3,False,False,False,stratum is frozen risk-score q75 bucket,5.680586988921447,3.406655903885932,135,True,risk_bucket_diagnostic_not_independent_condition,ordinary
exploratory_diagnostic_pre_stage3,False,False,False,stratum is frozen risk-score q75 bucket,14.109703699097196,5.76678693413434,90,True,risk_bucket_diagnostic_not_independent_condition,stress
