active_time_source,active_time_version,analysis_role,block3_generated,eligible_rows,formal_policy_frozen,formal_profile_frozen,rows,scientific_conclusion_prohibited,stage
missing,missing,diagnostic_pre_stage3,False,0,False,False,748,True,C1
log,auxiliary_available,diagnostic_pre_stage3,False,40,False,False,40,True,C2A_RP
log,auxiliary_mixed_or_legacy,diagnostic_pre_stage3,False,40,False,False,40,True,C2A_RP
log,auxiliary_mixed_or_legacy,diagnostic_pre_stage3,False,160,False,False,160,True,C2B
lead_time_fallback,missing,diagnostic_pre_stage3,False,0,False,False,353,True,P1
log,active_times_2026-05-19.jsonl,diagnostic_pre_stage3,False,14,False,False,14,True,P1
log,active_times_2026-05-19.jsonl;active_times_2026-05-21.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-05-19.jsonl;active_times_2026-05-25.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-05-20.jsonl,diagnostic_pre_stage3,False,5,False,False,5,True,P1
log,active_times_2026-05-20.jsonl;active_times_2026-05-25.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-20.jsonl;active_times_2026-05-25.jsonl;active_times_2026-06-18.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-20.jsonl;active_times_2026-06-13.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-20.jsonl;active_times_2026-06-29.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-21.jsonl,diagnostic_pre_stage3,False,71,False,False,71,True,P1
log,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl,diagnostic_pre_stage3,False,14,False,False,14,True,P1
log,active_times_2026-05-21.jsonl;active_times_2026-06-01.jsonl;active_times_2026-06-03.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-22.jsonl,diagnostic_pre_stage3,False,57,False,False,57,True,P1
log,active_times_2026-05-23.jsonl;active_times_2026-06-29.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-24.jsonl,diagnostic_pre_stage3,False,24,False,False,24,True,P1
log,active_times_2026-05-24.jsonl;active_times_2026-06-11.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-05-25.jsonl,diagnostic_pre_stage3,False,57,False,False,57,True,P1
log,active_times_2026-05-25.jsonl;active_times_2026-06-11.jsonl,diagnostic_pre_stage3,False,7,False,False,7,True,P1
log,active_times_2026-05-25.jsonl;active_times_2026-06-18.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-25.jsonl;active_times_2026-06-28.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-05-29.jsonl,diagnostic_pre_stage3,False,17,False,False,17,True,P1
log,active_times_2026-05-31.jsonl,diagnostic_pre_stage3,False,57,False,False,57,True,P1
log,active_times_2026-06-01.jsonl,diagnostic_pre_stage3,False,30,False,False,30,True,P1
log,active_times_2026-06-01.jsonl;active_times_2026-06-03.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-03.jsonl,diagnostic_pre_stage3,False,10,False,False,10,True,P1
log,active_times_2026-06-04.jsonl,diagnostic_pre_stage3,False,51,False,False,51,True,P1
log,active_times_2026-06-04.jsonl;active_times_2026-06-05.jsonl,diagnostic_pre_stage3,False,3,False,False,3,True,P1
log,active_times_2026-06-05.jsonl,diagnostic_pre_stage3,False,3,False,False,3,True,P1
log,active_times_2026-06-11.jsonl,diagnostic_pre_stage3,False,8,False,False,8,True,P1
log,active_times_2026-06-11.jsonl;active_times_2026-06-12.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-12.jsonl,diagnostic_pre_stage3,False,30,False,False,30,True,P1
log,active_times_2026-06-16.jsonl,diagnostic_pre_stage3,False,18,False,False,18,True,P1
log,active_times_2026-06-16.jsonl;active_times_2026-06-17.jsonl,diagnostic_pre_stage3,False,21,False,False,21,True,P1
log,active_times_2026-06-17.jsonl,diagnostic_pre_stage3,False,85,False,False,85,True,P1
log,active_times_2026-06-17.jsonl;active_times_2026-06-29.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-18.jsonl,diagnostic_pre_stage3,False,5,False,False,5,True,P1
log,active_times_2026-06-18.jsonl;active_times_2026-06-20.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-20.jsonl,diagnostic_pre_stage3,False,62,False,False,62,True,P1
log,active_times_2026-06-20.jsonl;active_times_2026-06-21.jsonl,diagnostic_pre_stage3,False,18,False,False,18,True,P1
log,active_times_2026-06-20.jsonl;active_times_2026-06-28.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-21.jsonl,diagnostic_pre_stage3,False,81,False,False,81,True,P1
log,active_times_2026-06-21.jsonl;active_times_2026-06-23.jsonl;active_times_2026-06-24.jsonl;active_times_2026-06-26.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-21.jsonl;active_times_2026-06-23.jsonl;active_times_2026-06-24.jsonl;active_times_2026-06-26.jsonl;active_times_2026-06-28.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-21.jsonl;active_times_2026-06-24.jsonl;active_times_2026-06-26.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-21.jsonl;active_times_2026-06-26.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-21.jsonl;active_times_2026-06-26.jsonl;active_times_2026-06-27.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-22.jsonl,diagnostic_pre_stage3,False,32,False,False,32,True,P1
log,active_times_2026-06-22.jsonl;active_times_2026-06-23.jsonl,diagnostic_pre_stage3,False,8,False,False,8,True,P1
log,active_times_2026-06-23.jsonl,diagnostic_pre_stage3,False,26,False,False,26,True,P1
log,active_times_2026-06-24.jsonl,diagnostic_pre_stage3,False,9,False,False,9,True,P1
log,active_times_2026-06-24.jsonl;active_times_2026-06-25.jsonl,diagnostic_pre_stage3,False,2,False,False,2,True,P1
log,active_times_2026-06-25.jsonl,diagnostic_pre_stage3,False,45,False,False,45,True,P1
log,active_times_2026-06-25.jsonl;active_times_2026-06-26.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-26.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-26.jsonl;active_times_2026-06-27.jsonl,diagnostic_pre_stage3,False,4,False,False,4,True,P1
log,active_times_2026-06-27.jsonl,diagnostic_pre_stage3,False,57,False,False,57,True,P1
log,active_times_2026-06-27.jsonl;active_times_2026-06-28.jsonl,diagnostic_pre_stage3,False,4,False,False,4,True,P1
log,active_times_2026-06-27.jsonl;active_times_2026-06-29.jsonl,diagnostic_pre_stage3,False,10,False,False,10,True,P1
log,active_times_2026-06-28.jsonl,diagnostic_pre_stage3,False,23,False,False,23,True,P1
log,active_times_2026-06-28.jsonl;active_times_2026-06-30.jsonl,diagnostic_pre_stage3,False,1,False,False,1,True,P1
log,active_times_2026-06-29.jsonl,diagnostic_pre_stage3,False,46,False,False,46,True,P1
log,active_times_2026-06-30.jsonl,diagnostic_pre_stage3,False,82,False,False,82,True,P1
