analysis_role,block3_generated,canonical_invalid_rows,denominator_fraction,eligibility_status,excluded_rows,formal_eligible_rows,formal_policy_frozen,formal_profile_frozen,ineligibility_reason,not_evaluable_rows,reason,row_type,scientific_conclusion_prohibited,sensitivity_status,source_rows
exploratory_diagnostic_pre_stage3,False,6,,,,225,False,False,,9,formal 225-row model already excludes reference/canonical ineligible records,formal_denominator,True,not_evaluable_already_excluded_by_formal_eligibility,240
exploratory_diagnostic_pre_stage3,False,,0.025,canonical_invalid,6,225,False,False,unspecified,,,exclusion_category,True,not_evaluable_already_excluded_by_formal_eligibility,240
exploratory_diagnostic_pre_stage3,False,,0.020833333333333332,not_evaluable,5,225,False,False,geometry_normalization_failed,,,exclusion_category,True,not_evaluable_already_excluded_by_formal_eligibility,240
exploratory_diagnostic_pre_stage3,False,,0.016666666666666666,not_evaluable,4,225,False,False,researcher_confirmed_bad_gt,,,exclusion_category,True,not_evaluable_already_excluded_by_formal_eligibility,240
