analysis_role,block3_generated,field,formal_policy_frozen,formal_profile_frozen,missing,rows,scientific_conclusion_prohibited,stage,substage_block
diagnostic_pre_stage3,False,risk,False,False,748,748,True,C1,C1-A
diagnostic_pre_stage3,False,iou_to_reference,False,False,61,748,True,C1,C1-A
diagnostic_pre_stage3,False,peer_compatibility,False,False,64,748,True,C1,C1-A
diagnostic_pre_stage3,False,loo_peer_compatibility,False,False,168,748,True,C1,C1-A
diagnostic_pre_stage3,False,active_time,False,False,748,748,True,C1,C1-A
diagnostic_pre_stage3,False,reference_status,False,False,0,748,True,C1,C1-A
diagnostic_pre_stage3,False,risk,False,False,0,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,iou_to_reference,False,False,2,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,peer_compatibility,False,False,40,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,loo_peer_compatibility,False,False,40,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,active_time,False,False,0,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,reference_status,False,False,4,40,True,C2A_RP,Block1
diagnostic_pre_stage3,False,risk,False,False,0,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,iou_to_reference,False,False,2,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,peer_compatibility,False,False,40,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,loo_peer_compatibility,False,False,40,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,active_time,False,False,0,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,reference_status,False,False,1,40,True,C2A_RP,Block2
diagnostic_pre_stage3,False,risk,False,False,0,160,True,C2B,C2-B
diagnostic_pre_stage3,False,iou_to_reference,False,False,3,160,True,C2B,C2-B
diagnostic_pre_stage3,False,peer_compatibility,False,False,160,160,True,C2B,C2-B
diagnostic_pre_stage3,False,loo_peer_compatibility,False,False,160,160,True,C2B,C2-B
diagnostic_pre_stage3,False,active_time,False,False,0,160,True,C2B,C2-B
diagnostic_pre_stage3,False,reference_status,False,False,2,160,True,C2B,C2-B
diagnostic_pre_stage3,False,risk,False,False,1481,1481,True,P1,PreScreen
diagnostic_pre_stage3,False,iou_to_reference,False,False,1481,1481,True,P1,PreScreen
diagnostic_pre_stage3,False,peer_compatibility,False,False,1481,1481,True,P1,PreScreen
diagnostic_pre_stage3,False,loo_peer_compatibility,False,False,1481,1481,True,P1,PreScreen
diagnostic_pre_stage3,False,active_time,False,False,0,1481,True,P1,PreScreen
diagnostic_pre_stage3,False,reference_status,False,False,1481,1481,True,P1,PreScreen
