analysis_role,analysis_subrole,block3_generated,boundary,buildings,condition_number,convergence,design_columns,formal_policy_frozen,formal_profile_frozen,formula,hessian,included_rows,interaction_joint_df,interaction_joint_pvalue,interaction_joint_statistic,interaction_joint_test_status,kind,model_name,model_rank,optimizer,random_effect_eigenvalues_json,rank_deficient,reason,residual_df,scientific_conclusion_prohibited,singular,status,tasks,warnings,workers
exploratory_diagnostic_pre_stage3,exploratory_diagnostic,False,False,9,28.710427507612373,True,30,False,False,quality ~ C(worker_id) + C(building_id) + C(stage),,225,,,,,ols,M0,30,ols,,False,,195.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic,False,False,9,126.88181189130587,True,31,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk,,225,,,,,ols,M1,31,ols,,False,,194.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic,False,True,9,108.87128535581874,True,12,False,False,quality ~ C(building_id) + C(stage) + risk,not_exposed_by_statsmodels_mixedlm,225,,,,,mixed,M2,12,lbfgs,"[1.0750657020218522e-07, 0.00475015881082196]",False,,213.0,True,True,boundary_singular,67,The MLE may be on the boundary of the parameter space.,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic_risk_vector_component,False,False,9,570.528382845662,True,51,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + d_model_feat + C(worker_id):d_model_feat,,225,19,0.003612683402063729,2.4674288824148114,estimated,ols,M3_d_model_feat,51,ols,,False,,174.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic_risk_vector_component,False,False,9,817.1230775468216,True,51,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + d_model_feat_local_max + C(worker_id):d_model_feat_local_max,,225,19,1.975477369694464e-06,4.563932745421057,estimated,ols,M3_d_model_feat_local_max,51,ols,,False,,174.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic_risk_vector_component,False,False,9,395.68230046874265,True,51,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + g_model_struct + C(worker_id):g_model_struct,,225,19,0.21079731366774912,1.3051608571160045,estimated,ols,M3_g_model_struct,51,ols,,False,,174.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic_risk_vector_component,False,False,9,379.3050909365124,True,51,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + d_cal_A + C(worker_id):d_cal_A,,225,19,0.2484741648554798,1.248748211373414,estimated,ols,M3_d_cal_A,51,ols,,False,,174.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,exploratory_diagnostic,False,False,9,630.3073123650088,True,50,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + C(worker_id):risk,,225,19,0.012132754971823714,2.1403605690734127,estimated,ols,worker_x_risk_diagnostic,50,ols,,False,,175.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,risk_bucket_diagnostic_not_independent_condition,False,False,9,159.67682481174492,True,51,False,False,quality ~ C(worker_id) + C(building_id) + C(stage) + risk + C(worker_id):C(task_stratum),,225,20,0.00424044614150406,2.3933471581874155,estimated,ols,worker_x_stratum_diagnostic,51,ols,,False,,174.0,True,False,estimated,67,,20
exploratory_diagnostic_pre_stage3,,False,,,,,,False,False,,,,,,,,,M3_risk_design_score_A,,,,,exact duplicate of formal risk; rejected from same model,,True,,not_evaluable_exact_duplicate_of_formal_risk,,,
