actual_rows,actual_workers,analysis_role,block3_generated,formal_policy_frozen,formal_profile_frozen,k,scientific_conclusion_prohibited,source,tier_member
34,18,exploratory_diagnostic_pre_stage3,False,False,False,3,True,pre_Block2_frozen_Q_GT_EB,False
4,2,exploratory_diagnostic_pre_stage3,False,False,False,3,True,pre_Block2_frozen_Q_GT_EB,True
30,16,exploratory_diagnostic_pre_stage3,False,False,False,5,True,pre_Block2_frozen_Q_GT_EB,False
8,4,exploratory_diagnostic_pre_stage3,False,False,False,5,True,pre_Block2_frozen_Q_GT_EB,True
22,12,exploratory_diagnostic_pre_stage3,False,False,False,10,True,pre_Block2_frozen_Q_GT_EB,False
16,8,exploratory_diagnostic_pre_stage3,False,False,False,10,True,pre_Block2_frozen_Q_GT_EB,True
