assumed_abs_true_effect,required_total_buildings_80_power,required_total_paired_tasks_at_current_density,additional_buildings_from_current_9,additional_tasks_from_current_25,note
0.010005349,5966,16573,5957,16548,normal approximation using current observed building-level SD; not a guarantee
0.050000000,239,664,230,639,normal approximation using current observed building-level SD; not a guarantee
0.100000000,60,167,51,142,normal approximation using current observed building-level SD; not a guarantee
0.150000000,27,75,18,50,normal approximation using current observed building-level SD; not a guarantee
0.200000000,15,42,6,17,normal approximation using current observed building-level SD; not a guarantee
