scope,test_count,minimum_raw_permutation_p,minimum_holm_adjusted_p,minimum_bh_q,retained_at_0_05,interpretation
all_predictor_outcome_tests,72,0.008991009,0.647352648,0.197802198,0,no image-feature association survives global multiplicity control
within_delta_supported_multimodality_family,9,0.009990010,0.089910090,0.035964036,3,"BH candidates are highly correlated edge-gradient features, including a redundant alias; not independent confirmations"
