stage,condition,total_selected_records,direct_or_formal_active_time_records,lead_time_proxy_excluded_records,active_time_computability_rate,note
C1,manual,674,607,0,0.900593472,C1 formal frozen task-worker active-time lane
C1,semi,106,94,0,0.886792453,C1 formal frozen task-worker active-time lane
C1,all,780,701,0,0.898717949,C1 formal frozen task-worker active-time lane
P1,manual,779,599,180,0.768934531,lead-time fallback remains excluded from active time
P1,semi,468,349,119,0.745726496,lead-time fallback remains excluded from active time
P1,oos,234,180,54,0.769230769,lead-time fallback remains excluded from active time
P1,all,1481,1128,353,0.761647535,stage-level missingness is structurally different from C1 and C2
C2-B,manual,160,160,0,1.000000000,direct/frozen active time observed for all rows
C2-A-RP-B1,manual,40,40,0,1.000000000,direct/frozen active time observed for all rows
C2-A-RP-B2,manual,40,40,0,1.000000000,direct/frozen active time observed for all rows
