total_buildings,approx_paired_tasks,se,ci_half_95,power_abs_effect_0.010005,power_abs_effect_0.050000,power_abs_effect_0.100000,power_abs_effect_0.150000,power_abs_effect_0.200000
9,25,0.091945041,0.180212280,0.051353292,0.084502253,0.192650161,0.371397007,0.585216898
18,50,0.065014962,0.127429326,0.052713018,0.120013160,0.336786025,0.635774803,0.867835175
27,75,0.053084494,0.104045609,0.054074943,0.156168508,0.469686293,0.806669083,0.964663943
36,100,0.045972521,0.090106140,0.055439040,0.192650161,0.585216898,0.903681757,0.991585556
54,150,0.037536406,0.073571355,0.058173637,0.265512441,0.759310503,0.979130872,0.999621643
72,200,0.032507481,0.063714663,0.060916597,0.336786025,0.867835175,0.996026608,0.999986201
