path,submission_rows,draft_rows
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-28-at-2026-07-01-07-14-56a198ba.json,420,10
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-29-at-2026-06-30-09-00-e7ea6931.json,253,6
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-30-at-2026-06-30-09-00-69d8051b.json,126,3
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-39-at-2026-06-28-05-14-65ca3316.json,362,12
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-40-at-2026-06-28-05-14-bb74a057.json,216,9
analysis_results/prescreen_closeout_final_gold_v2_20260701/raw_inputs/project-41-at-2026-06-28-05-13-8641854f.json,108,3
export_label/c2arp_block1/project-78-at-2026-08-10-07-22-d878a022.json,20,2
export_label/c2arp_block1/project-79-at-2026-08-10-07-21-c5055ba6.json,20,0
export_label/c2arp_block2/project-84-at-2026-08-14-08-36-31615637.json,20,0
export_label/c2arp_block2/project-85-at-2026-08-14-08-36-71fffb37.json,20,0
export_label/c2B_Chinese/project-77-at-2026-08-06-14-39-a247e8c0.json,80,2
export_label/c2B_English/project-76-at-2026-08-06-14-41-45400e98.json,80,1
export_label/stage1_chinese/project-28-at-2026-07-01-07-14-56a198ba.json,420,10
export_label/stage1_chinese/project-29-at-2026-06-30-09-00-e7ea6931.json,253,6
export_label/stage1_chinese/project-30-at-2026-06-30-09-00-69d8051b.json,126,3
export_label/stage1_English/project-39-at-2026-06-28-05-14-65ca3316.json,362,12
export_label/stage1_English/project-40-at-2026-06-28-05-14-bb74a057.json,216,9
export_label/stage1_English/project-41-at-2026-06-28-05-13-8641854f.json,108,3
export_label/stage2_Chinese/project-69-at-2026-07-30-13-02-cb472115.json,144,2
export_label/stage2_Chinese/project-71-at-2026-07-30-14-18-54a73158.json,198,1
export_label/stage2_Chinese/project-72-at-2026-07-30-13-02-f69c5ac4.json,54,4
export_label/stage2_English/project-66-at-2026-07-30-13-01-cdb9fe80.json,135,7
export_label/stage2_English/project-67-at-2026-07-30-13-01-f5126135.json,203,9
export_label/stage2_English/project-68-at-2026-07-30-13-02-cf7d8306.json,54,1
