group,priority_rank,adopted_images,selected,requested_new,possible_new,assigned_new,target_shortfall,adopted_numbers,note
G172,1,11,True,145,145,145,0,1、3、4、9、12、20、40、43、45、53、58,这个房间中等难度
G184,2,9,True,115,110,110,5,18、26、41、50、59、60、66、67、88,这个房间的构造本身就较难
G179,3,8,True,85,85,85,0,8、19、29、55、65、68、81、86,10优先级稍低
G178,4,7,True,84,84,84,0,7、14、48、72、78、79、87,"这个书架是可能导致歧义的地方,有些人会把他当墙面,有些人会标注到实际墙角"
G090,5,7,False,48,48,0,0,3、7、8、11、28、26、15,较简单
G057,6,6,False,86,82,0,0,1、2、4、7、10、11,"这房间较难,出现不同标法的情况多见"
G141,7,6,False,87,87,0,0,17、23、25、29、37、41,"中等难度,突出的墙体这有很多人会忽略"
G047,8,5,True,32,32,32,0,6、10、15、17、19,简单房间
G205,9,5,False,38,38,0,0,3、22、29、54、61,
G109,10,5,False,68,68,0,0,1、5、17、20、33,"这图semi标的不好,而且人工标 部分地方他们可能会忽略,造成歧义"
G002,11,5,False,61,61,0,0,2、3、5、10、17,
G202,12,5,False,59,59,0,0,2、25、26、51、53,"这房间较难,如果不忽略凸起的墙体,是比较难标的,历史标注中歧义也有. 我这里采用保守估计人手,可以后续追加"
G237,13,4,True,24,24,24,0,2、5、10、26,较简单
G207,14,4,False,16,16,0,0,4、15、40、45,"简单,但是semi的数据看看怎么去使用比较好"
G078,15,4,False,27,27,0,0,2、5、8、9,较简单
G015,16,4,False,54,54,0,0,9、11、16、19,"这墙上凸起的壁炉这 很多人会忽略,如果标的话,就比较难标,这图不是oos"
G165,17,3,False,16,16,0,0,2、14、15,较简单
G027,18,2,False,12,12,0,0,11、45,这是形成了稳定2簇
G197,19,2,False,15,15,0,0,47、75,这场景较难
