schema_version,rows,scope_missing_rows,difficulty_missing_rows,model_issue_missing_rows,scope_missing_rate,difficulty_missing_rate,model_issue_missing_rate
legacy_quality_only,7,7,7,7,1.0,1.0,1.0
v2_structured,182,0,11,9,0.0,0.0604,0.0495
